title,//,sentence,//,Toefl,::
"Some people prefer to live in a small town, Others prefer to live in a big city. Which place would you prefer to live in? Use specific reasons and details to support your answer. 

",//,"   I had lived in a small town until in high school, after that, I has lived in a big city. So I could experience all advantages and disadvantage of a small town and a big city. When I was in a small town, I thouht a small town was better that a big ciry, but after I moved to a large city, I never imagine that I return a tiny community. 
   
     Initially, in a large city, people could have many cultural opportunities more easily. For example, a few weeks ago, I and my friend living in a small town far from a large city went to the theater to watch very famous musical, 'Cats'. In my case, it took me about half of an hour to go to the theater by subway, but my friend spent almost 3 hours arriving in the theater by car because she lived in a tiny community. She exhausted valuable time in which she did something different and more money so that she drove a car operated with oil. In her small town, there were no theater for musical or play and many of the town were not interested them. So all she could do was that she went to a large city for seeing musical or play. If she had have born in a big community, she could have enjoyed musical and play as much as she wanted. 

     Next, much more medicine service is given to people living in a large city. Now I can imagine one documentary televised on TV last year. On documentary a story of one men preparing 'Disabled Olympic' was introduced. The men had blindness of one eye. According to his words, it originated from a unexpected accident. When he was a child, he and his friend played the game using a toy sword. The game was very exciting and they more and more fell into it. While they enjoying the game, the accident succenly occured. The sword of his friend stung his right eye deeply. He felt a extreme pain on his eye, and cried loudly. No sooner took him to the hospital in town than his mother saw his hurtten eye but doctor said that he should go to the bigger hospital in a big city. So He and his mother went to the hospital in a big city as soon as possible, but he lost his eyesight during going to there. Through this case, we can know why people prefer to live in a big city. 

     In conclusion, I prefer to live in a big city that living in a small town. Of course, living in a small town has the advantages ; clean air, pure water and stablility  earned from living with nature. However, when considering that I am young and health also now I need the advantages of cultural chances and medicine servise, it is obviousely much better for me that I live in a large city. ",//,essay,::
People attend college or university for many different reasons. Why do you think people attend college or university?,//,"   These days, more and more people have been attending University or college. Some are attending University without certain purpose and just follow people around them, while others enter college to prepare their jobs or to study deeply. I think people attending University because they want to have more profound knowledges about their careers and enhance the levels of their cultures. 
         
               First of all, University helps students to be competent worker by studying their major. There are lots of faculty who have been studying specially and rendering remarkable achievement to their fields. By taking their classes, students learn professors' accumulated knowledges and wisdom. Also, friends in same major can share informations about goals that they want to achieve in the future. In short, students can develope themselves as a good worker through studying in advanced classes of their major with students who have common interests and goals. 
        In addition, University helps students get common senses and develope sociabilities which are essential to become cultured men. There are many club activities which are helpful to develope ourselves. In my case, I attained intellectual cultures by doing newspaper club activity and became sociable by getting along with various kind of people in the club. Plus, central library in University has many books about liberal arts  available for students who have difficulties in buying expensive books. Shortly, people can cultivate themselves better by attending University.           
               
             To sum up, in my opinion, people want to enter University for career preparation and being well-grounded men in various fields. As the society become more complex, university will perform important role of making professional worker and cultivate people. ",//,essay,::
"It has been said, ""Not everything that is learned is contained in books."" Compare and contrast knowledge gained from experience with knowledge gained from books. In your opinion, which source is more important? Why? ",//,"          People learn constantly from their birth to death. Not only school education or books but also things we see, hear, touch are good materials to get knowledge. Among them, I think knowledge of experience is more important than knowledge of books because of its durability, and it teaches us precious values like cooperation and flexibility. 
         
               First, we hardly forget what we learn from our own experience. For example, we learn importance of money and difficulty of earning money in capitalistic society by studying economics through books. Also, we memorize how money circulates between producer and consumer written in textbooks. However, we usually forget about it as time passes. On the other hand, we can learn hardship of gaining money or way of profiting in person through part-time job. The reason is that they are more practical, and as we learn it using five senses. In short, knowledge of experience are more important because it's unforgettable.   
        Secondly, knowledge of experience offers a sense of cooperation and flexibility which are important to build up one's character. Even if we can gain boundless knowledges studying books about astronomy, mathematics, and so on, it's no use if we bury ourselves in pedantic or impractical theory neglecting the value of cooperative spirit and flexibility, which can be gained by social experience like contacting directly with other people and various circumstances. To sum up, getting knowledge from experience is good to develop cooperative and flexible attitude.     
         
                In conclusion, if I have to choose between knowledge gained from experience and knowledge gained from books, I would choose the former. The reason is that it's lasts longer, and gives us cooperative and flexible mind. However, what we don't have to forget is that both knowledges of experience and books must be in balance.   ",//,essay,::
Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion.,//,"People have invented new machines and materials to make our life more convenient and joyful. Among them, television is one of the most effective inventions. In my opinion, I don't agree with the statement television has destroyed communication among friends and family because it gives people common subjects to talk about and time to get together.
         
              First of all, a family can have time to be with by watching television. These days, each individual is busy doing his/her own work and has different interest. However, after dinner, most family gather in the living room to watch TV. In my case, my family has talked about each others' daily life while watching television together. On the contrary, when my father puts the television away to prevent my eyesight from weakening, my family members did their own business in their own room. Shortly, television provides time to communicate with family.     

        Moreover, we can get some topics of conversation from television. There are lots of interesting and up-to-date informations that most people can share and enjoy. For example, a popular soup opera 'A lover of Paris' of SBS provided intimate and funny subjects to talk with friends. Also, television shows us about current issues so that we can discuss about it. In summary, whether that kind of topics are vulgar or not, it's certain that television helps people communicate with others by giving common interests and topics.     
         
                 In conclusion, I think television is serviceable stuff in the aspect of helping people communicate with their family and friends by giving chances and subjects to talk. Lastly, what I want to suggest is that people should control themselves to do not addict to watching television, and use it wisely to have better communication with others. ",//,essay,::
Some people prefer to watch movies in a theater. Other people prefer to stay home and watch movies on video. Which do you prefer? Use specific reasons and examples to support your answer.,//,"Since movies of these days offer quiet a good way to spend time, many people take watching movies as their hobby. Some of them like to watch movies at home sitting on the sofa and some others want to watch them at a theater. As a mania for movies, I prefer the latter, which is the more attractive way to enjoy movies. 

Firstly, theater has a good environment to concentrate on movie. We can enjoy powerful sound and a big screen. Also the inside is dark enough. These are necessary if you want to enjoy the movie thoroughly. Although there are some equipment like home theater to provide similar environment to houses, because of the magnitude of the room the quality is much lower than the theater can offers. 

Secondly, you can have your own time in a theater. No one disturbs you by asking you ""What happened just before?"" or ""I don't like that actor.” You can just enjoy the movie alone and can talk about it after the screening is over. Those conditions cannot be accomplished if you are watching it with your family or friends at home. 

So if somebody wants to enjoy a movie, I would recommend him to go to a Movie Theater even though he has to pay for it. Because it is worth paying to guarantee pleasant facilities and one's own time. ",//,essay,::
Some people prefer to eat at food stands or restaurants. Other people prefer to prepare and eat food at home. Which do you prefer? Use specific reasons and examples to support your answer. ,//,"When it comes to decide whether to eat at restaurant or at home, it is hard to do so because both have their own good and bad points. But I prefer to eat out due a lot to the convenience which is the most important condition for me in this case. 

First, as I mentioned it is much more convenient to eat out side. We don't need to prepare dishes for a long time and is cleaning needed neither after finishing the meal. And various choices are possible if we go to the place like food court. It is for sure that eating out is better when we don't have enough time to eat and prepare good quality of food. Eating at home can be very time consuming work to people who are busy at most times. 

Second, another merit if we eat at restaurants is the mood and environment we can enjoy there. Home can be a comfortable place to eat, but a restaurant which has a waterfall and some paintings at walls for example, gives us kinds of pleasure that we are enjoying food around a good landscape. 

In summary, eating out is a convenient and pleasant way to enjoy food. Of course we cannot have food out every day but if conditions are appropriate, wouldn't it be happy to enjoy new food and new environment? ",//,essay,::
" Do you agree or disagree with the following statement? People should read only those books that are about real events, real people, and established facts. Use specific reasons and details to support your opinion.",//,"There was an argument regarding to the issue that people should read the books that are about real events, real people, and established facts. Books have usually had writer's insight. From my perspective, I think that we can read the books that are about a fairy tale or science fiction to develop with a good dream and a desire. Moreover, however historians have written a history, Historians' opinions have always affected the history. 
   

First of all, fairy tales and science fictions have impressed the children. If children read fairy tales, they can easily realize good and evil. Besides, we read open science fictions to develop our hope. When I went to the elementary school, I open red science fiction. I could learn a lot of science common senses because science fictions had generally common senses and have the dream that I want to become a doctor. Fairy tales also teach children good and evil and children know what bad is or what good is.  Fairy tales and science fictions was written by fictions but those help us to have hope. 
   

Moreover, history has  written by historians. History have the fact. However, history have open historian's subjective view. Each persons can concludes the same historical fact to different opinions. For example, The Korea war have two different opinions. One is that the Korea War helped the country to develop economy because it could start  foreign trade. Another is that the Korea War destroyed Korean economy because most of factories was extremely ruined. Many historians have obviously different thoughts. Thus, however History was written about the fact, The fact isn't all of contents. 
   

In conclusion, I don't agreed to read the books that are about the facts. Fairy tales and science fictions give children dreams and desires. Moreover, histories aren't composed of all of the facts and we can't read books that are about the facts. ",//,essay,::
Some people believe that students should be given one long vacation each year. Others believe that students should have several short vacations throughout the year. Which viewpoint do you agree with? ,//," The vacation is the opportunity for students to do something special they cannot experience in school. It is important to determine how long the vacation is more efficient for student to relax enough and prepare the next term and to learn the real life from parents and the real society behind school. I believe that long vacation each year can be more helpful for the student than several short vacations throughout the year. 

     First, they can do something sufficiently they cannot do during the school time when they have long vacation like learning sports or traveling. When I was freshman in university, I desired to travel European country with back and went around the country with great satisfaction during 2 months summer vacation. If there were only 1 month vacation, I may have not traveled fully and have regretted the lack of time. 

    Second, they can be taught from their parents during vacation, and the home education is as important as the school education. When the students have enough long vacation, they can spend more time with their parents besides their other activity. When I was high school student, I helped my mother’s house choirs and my father’s work during winter vacation for 3 months. Before that time, I thought that I was deserved to be taken care of by my parents. But, though the experience, I felt really how difficult was my parents working, and I realized truly I had to respect my parents. It was through my real experience in home that I recognized sincerely respecting my parents. Eventhough I always learned from the teacher that I had to have regard in high my parents. 

    In addition, it is necessary for the students to prepare the next term. If they have only short vacation, they cannot have enough time to learn the real experience which cannot be taught from the school and relax at the same time. During vacation, they have to have the time not only doing something they would like to do but relaxing to prepare the next term. If there is only short vacation, they will be too busy to finish the vacation good and get ready the new school semester. 

     In conclusion, I am firmly convinced that the long term vacation is essential each year for the students to try what they would like to do which they cannot do during the term and have the opportunity to be trained at home. In addition, through the long vacation, they can complete the vacation well and plan the next term.       ",//,essay,::
People recognize a difference between children and adults.What events make a person a adult? ,//," A differebce between children and adults is not obious. People who live in each different cultures have various events, such as having 'Maturity celebrate day', tatooing, that become adults. It is considerd that high school graduation and performing liavility for military service are essentiol in Korea. 
       
      Children have to be admited by a law for becorming a adult. High school graduation means that a child become a adult by legal difinition. Child cann't buy tabacco and alcohol drink. If he commit a crime, it is parent's responsibilty. While, if he is adult, he can buy tabacco and alcohol. And when he commit a crime, he will go to prison by a law. Although a person cann't mentally mature well, he is considered a adult by a law after high school graduation . 

      Performing liability for military service is another event made a person a adult. Korea men that are twenty years old have to perform liability for military service for two years old beacuse Korea is divided country. They have to endure a yearning by living in others place from their family, friend and lover. Also They learn a patience by enduring a harsh weather. Those processes mentallly make a person a adult. So people consider that perfoming liability for militery service is big evets which is made a person a adult. 

      It isn't easy to deside a difference between children and adults. However, every country  have various ceremonies and events that make a person a adult. I believe that high school graduation and performing liavility for military service are essentiol  to allow a adult in Korea.",//,essay,::
Do you agree or disagree with the following statement? A person's childhood years (the time from birth to twelve years of age) are the most important years of a person's life. Use specific reasons and examples to support your answer. ,//,"   Almost people don't remember their childhood years; what they did, what they thought, and what happened. They were too young to remember everything. When we forgot the old memories, the only way to find out what happened before is to ask to our parents and our acquaintances who have known us since we were so young. our old memories are fading away even right now. Then, do the childhood years mean nothing? Absolutley not. 

        Firstly, the period that we got socialized is our childhood year. It means important. We learn the customs of the community which we belong to. That is, we learn who we are, what we have to, and what our society is. From learning things like this, we get a position of our society. And then, we can play our roles in the society. Through interaction with other people in the society, each of  us makes personality. It a part of the concept of socializaion. All these things happen in our childhood years. 

        Secondly, we get some tools needed for social activities. One of the most important thing is language. we have at least one language that is used our society, And, we speak our mother tongue. The era that we learn the language is also our childhood year. Moreover, we learn basic knowledge concerned science and mathematics in the elementary school, which is needed for the study and research that we are going to do. So, we have to take some tools like language and basic knowledge for our future. Unintentionally, and naturally, we learn those things in our childhood years. 

        Conclusively, if some person has bad time in the childhood years, his all life would be unhappy. It may not true, but he has more chance to be unhappy than normal people. It is because that something wrong in childhood years can influence to his life; bad socializazion or lack of knowledge. In short, childhood years can determine the whole life. So, the most important years of a person's life are the childhood years. ",//,essay,::
 Do you agree or disagree with the following statement? Parents are the best teachers. Use specific reasons and examples to support your answer.,//," There are a wide range of controversies about this statement that parents are the best teacher. Some people think that parents are the best teacher because they give their children many wisdoms of living which they experienced, and they well know their children any other in the world. Others say that parents do not become the best teacher for their children because they really love their children so they can not realize their mistakes, and they are not expert in all fields. However, I disagree that parents are the best teacher. 

  First, parents do not point out their children’s mistakes because they have love and attachment for them. They do not see their children with objective views, so they find their children’s mistakes as well as correct their faults. When I ate with my family, children run around the restaurant and made a noise as if it is their house. Although the children’s behaviors had bad influences on other people, their parents do not scold them and angry to people who scold their children. 

  Second, parents are not the best teacher because their knowledge does not cover all fields. Although they have various experiences and wisdom for living, they lack expert knowledge on diverse areas such as art, science, and history. Therefore, they could give their children an erroneous knowledge or information, so it may have negative effects on them. If your children ask you what you do not know, you can not give them the right answer. Consequently, your children are disappointed with you, and you might lose your authority as parents. 

  In conclusion, it is fact that parents play an important role in their children’s life. However, they are related their children so closely that they overlook their mistakes or faults. Although parents give us much love and consideration, I disagree with this statement for the reasons I have mentioned above.     ",//,essay,::
