toefl,::,,::,I/B/C,::,Thesis,::,Topic,::,Coherence,::,Transition,::,Main Idea,::,Supporting Idea,::,Style,::,Usage,::,Critique,//
"71&Some people enjoy change, and they look forward to new experiences. Others like their lives to stay the same, and they do not change their usual habits. Compare these two approaches to life. Which approach do you prefer? Explain why.
",::,"<IN>Some people like to experience new things, while others prefer to stay the same. It is because people's tastes are different, and both approaches come with advantages and disadvantages. <TS><TR>However</TR>, I prefer to change because I think that it has more advantages: it extends my life's boundary and grows me as a person.</TS></IN>

<BO1><MI1>One reason people remain the same is that routine is comfortable and there is no challenge to scare them.</MI1> <SI1>They enjoy peaceful lives. <TR>However</TR>, it can be boring. <TR>Furthermore</TR>, they are not able to grow themselves by doing new tasks. <TR>For example</TR>, one person afraid to swim in the deep pool, so she always plays in shallow. Even though she satisfies it, she can not learn to swim. <TR>Like this</TR>, if we do not attempt new tasks, we are not able to get anything.</SI1></BO1> 

<BO2><MI2><TR>However,</TR> people who like to change in their lives know that it gives chances to grow.</MI2> <SI2><EX><TR>For example</TR>, last year Korea had a ""president election"". There are major two candidates, one was seeking 'revolution' in Korea such as moving Capital, curtailing the length of military service, while the other was conservative and wanted to keep it same. <TR>Personally</TR>, I preferred the former, because he sought new tasks and I was sure it might provide chances for Korea to grow. <TR>Finally</TR>, he I supported was elected, and now Korea faces changes which Korea never tasted before. Some worries about this, most of us expect newly-changed Korea.</EX></SI2></BO2>

<CO><TR>In conclusion</TR>, if all factors are considered, changes in our lives are more benefit, because it extends our experiences and grows us. I believe the phrase ""No pains, no gain."" If we want to achieve something, then we necessarily get through troubles, but it will not make us stop, otherwise go further.</CO>",::,5,::,4,::,5,::,5,::,4,::,5,::,5,::,5,::,5,::,"A very good essay! Take the transition out of your thesis statement to make it perfect. Also, try not to use too many transitions.",//
"72& A person you know is planning to move to your town or city. What do you think this person would like and dislike about living in your town or city? Why? Use specific reasons and details to develop your essay.
",::,"<IN>Some people like to live in Seoul in terms of the facilities and public transfortations. <TR>On the contrast</TR>. others hate to live in Seoul because of the air pollution and expensive cost. <TS>I don't know the preference of the person who is willing to move to my city. <TR>Therefore</TR> I will explain the advantages and disadvantages to live in Seoul of Korea.</TS></IN>

<BO1><MI1>The merits are following.</MI1> <SI1><TR>first of all</TR>, it is hard to drive a car in Seoul of Korea because there are many cars. <TR>With that reason</TR>, the public transportation has it over using my car. In Seoul there are so many public bus lines and subway lines that it is not hard to go to the destination in time, besides public buses can use the sole lane in the rush hour. Second good thing is the facilities. In Seoul we can go shopping and enjoy their free time easily . There are many department stores, theaters and sport centers. Therefore you can go to theater to watch a movie , have an exercise in sport club and afterward have a shopping with your friends or families.</SI1></BO1>

<BO2><MI2>Anywhere there are some drawbacks.</MI1> <SI1><TR>Firstly</TR> if you are willing to live in Seoul, you should care lung diseases because of the air pullution. there are so many cars that it is hard to breath fresh air. As I read a news in the newspaper, there is no more growing tree in ""Nam Mountain"" which is located in the center of Seoul and all trees in ""Nam Mountain"" stop growing and they are dying more and more. this show how the air pullution is serious in Seoul secondly you should have much money to have a life in Seoul. Specially the cost of a house is very high. Accordingly most people in Seoul have a dream to have their house. It takes about ten or fifteen years to have their own house. He or she maybe not want to spend much money buy a house.</SI2></BO2>

<CO><TR>Consequently</TR> to live in Seoul could be a good idea or not. If the person weight the ficilities and public transfortations of a big city, Seoul is none to second to live in. <TR>On the other hand</TR> if the man prefer the calm and clear environment to the function of a big cityon, he is unwilling to live in Seoul.</CO>",::,5,::,4,::,5,::,5,::,5,::,3,::,5,::,4,::,4,::,"This is a pretty good essay! I think you could come up with better main idea statements, though. Also, your thesis isn't standard, but it is interesting.",//
"73&Some people enjoy change, and they look forward to new experiences. Others like their lives to stay the same, and they do not change their usual habits. Compare these two approaches to life. Which approach do you prefer?
",::,"<IN>Some people say lives with change are desired, while others say lives without change are better. <TS><TR>In my opinion</TR>, lives with new experiences are better because they provide a sense of accomplishment even though they may result in failures.</TS></IN>
 
<BO1><MI1><TR>First</TR>, having new experiences, people can acquire a sense of achievement, while people may get frustrated when the results do not go well.</MI1> <SI1><EX><TR>To illustrate</TR>, I tried to change my job a few years ago from a bank to a consulting company. I wrote many resumes and sent them to many companies that I wanted to go. I was longing to have answers from them but there were none. I felt very unhappy, but I didn’t give up. I wrote my last resume with all my heart and sent it to another bank, which I wanted to go next to a consulting company. When I received an admission call from the bank, I felt very proud.</EX> <TR>In this respect</TR>, lives with change will give us fulfillments, but we will get discouraged when the results do not happen as we expect.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, having no new experiences, people can feel a sense of stability, while people do not have any development in their lives.</MI2> <SI2><EX><TR>For instance</TR>, one of my cousin is a teacher. She has been teaching for about 5 years. She likes and enjoys her job. But in my point of view, she does not do anything to develop herself. If she studies in graduate school while teaching, she may later have a chance to become a professor. I told about this many times to her, but she says she likes the way it is. In this manner, lives with no change may be very stable, but these gives people no chance to develop.</EX></SI2></BO2>

<CO><TR>In conclusion</TR>, lives full of changes are beneficial to people because these give people achievements. Even though people may get disappointed in case of failure, the failure can be a stimulus for the people to try harder to succeed.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,"An excellent, thoughtful essay. Great work!",//
74&You have enough money to purchase either a house or a business. Which would you choose to buy? Give specific reasons to explain your choice.,::,"<IN><TS>Some people say purchasing a house is better. <TR>However</TR>, I strongly believe buying a business is more meaningful because it can be profitable to me and contribute to society.</TS></IN>

<BO1><MI1><TR>More than anything else<TR>, a business provides a profit to me.</MI1> <SI1>It is generally considered that people can make a lot of profits by doing well in the business. <EX><TR>To be specific</TR>, my father had some money left after working in a bank for twenty years. He wanted utilize that money and there were many choices. <TR>Above of all these</TR>, he decided to buy a computer-selling company, a small but very promising business. After a hard work, he made a chance to make much money from it.</EX> <TR>For this reason</TR>, a business is advantageous because of its merit of earning money.</SI1></BO1>

<BO2><MI1>In addition to a profit, a business allows me to make a contribution to society.</MI1> <SI1>There are many ways that a business contributes to society. <EX><TR>For instance</TR>, I work in a large computer-programming company to which I wanted to enter for years. There are many co-workers around me who really wanted to be ones in there. This company gave people including me chances to work and earn money in a wanted circumstance.</EX> <TR>In this respect</TR>, a business makes a good service to a society.</SI2></BO2>

<CO><TR>In summary</TR>, buying a house may be a good idea. But buying a business is more efficient because this can be beneficial to people and contributes to society.</CO>",::,5,::,4,::,5,::,5,::,5,::,5,::,4,::,5,::,5,::,"This is a pretty good essay! Your thesis statement is also your entire introduction. Can you add more to the introduction? Also, your second example is a bit weak. The company gave you a job. It didn't help the local community or give money to a charity. That is what is meant by doing something for society.",//
75&Schools should ask students to evaluate their teachers. Do you agree or disagree? Use specific reasons and examples to support your answer.,::,"<IN>Some people say that how can students evaluate teachers. <TS><TR>However</TR>, I agree that school should ask students to evaluate their teachers because By estimating teachers, teachers will try to teach students with more active attendance than they used to be and students could have better education environment.</TS></IN>

<BO1><MI1><TR>First</TR>, evaluating teacher could forces them to have more active attendance.</MI1> <SI1>Generally pleple tend to have tension when given dangerous circumstances. <TR>To specific</TR>, in three years ago there is school that evaluate teachers. for the first time school was faced with many criticism from various experts. <TR>nevertheless</TR>, <TR>in these days</TR>, many other schools imitate that school because teachers in that school try to working hard than used to be. <TR>Likewise</TR>, evaluating teachers is more beneficial than do not so.</SI1></BO1>

<BO2><MI2><TR>Second</TR> appraising teachers allows students to have education environment of higher quality.</MI2> <SI2><TR>To illustrate</TR>, there are statistics about comparison between school that do not evaluate teachers and school that evaluate teachers. <TR>surprisingly</TR>, About 90% of students in latter school say that they are satisfied with education environment than past that. <TR>therefore</TR>, it is obvious that evaluating teachers is good to students.</SI2></BO2>

<CO><TR>In brief</TR>, I strongly hold the view that assessing teachers is efficient than not to do because students could have better education environment and teachers will try to teach with active attendance.</CO>",::,5,::,4,::,5,::,5,::,5,::,5,::,5,::,4,::,4,::,This essay is pretty good. Your thesis statement is sort of long and confusing.,//
76&Do you agree or disagree with the following statement? Parents are the best teachers. Use specific reasons and examples to support your answer.,::,"<IN>Some people say that there are lots of teachers in your life. Teachers in school could be your best teachers and Boss or seniors in your company could be a your best teachers. <TS><TR>However</TR> as far as basic manners and fundamental knowledge are concerned, I strongly agree with that parents are the best teachers.</TS></IN>

<BO1><MI1>Basic manners are much more important than other knowledge.</MI1> <SI1>Basic manners include ethics, conscience something like that. When you meet someone who is old, you know you have to bow him/her. This basic manner is taught by your parents firstly. And when you take a precious thing in the street such as money bag or jewelry , you know you have to take it to the police station or look for its owner by itself. This manner is also taught by your parents. <TR>For instance</TR>, there are two persons. One person is well educated from parents. <TR>On the other hand</TR>, other person is not educated from parents. Both of them already have graduate diploma. However the latter is more trouble maker than the former. Because the latter didn’t have basic education from parents. <TR>In fact</TR>, in society, most people who committed crimes didn’t take well educations from his/her parents even though they already took high schooling. That is good example in this case. Parents are the best teacher in our life.</SI1></BO1>

<BO2><MI1>Fundamental knowledge is anther important one in our life.</MI1> <SI1>If you should take advance knowledge in your school, you have to learn fundamental knowledge in order to do well. You can not image that you can learn more complicated knowledge without taking a basic one. <TR>For example</TR>, There are one person who is a student in elementary school. If he or she doesn’t take a basic knowledge from parents, he or she can not do or solve some problems. Parents already teach us a basic knowledge in order to do something very well. Of course, teacher could teach that. However there is a limited area. And teacher can not take care of so many students very well. And also teacher can not handle with them with careful.</SI2></BO2>

<CO><TR>Taken together</TR>, although there are many teachers around the world, no one can teach us with careful like parents. Parents are aware of our shortcoming or merit. <TR>Put it another ways</TR>, we can learn a lot of things from parents very well. That’s why parents can be a good teachers in our life.</CO>",::,5,::,4,::,5,::,5,::,5,::,3,::,4,::,4,::,4,::,"This essay is pretty good, but I think your two main ideas are similar enough that you could combine these paragraphs.",//
77&Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion.,::,"<IN>Some people think that televison has destroyed communication among friends and family. However people can communicate with others easily in terms of its information, its entertainment. <TS>I strongly believe that television can make people more communicating with their friends and family.</TS></IN>

<BO1><MI1>When it comes to information, television is one of the main source around the world.</MI1> <SI1><TR>As you know</TR>, television has so many programs that people talk about it everyday. When they communicate with each other, they could learn or know a new fact. <EX><TR>For example</TR>, I like to watch the News and I really know what the News is . Everyday my friend want to talk to me. Because he is feeling to know what the News says.</EX> <EX>Another example is that I listen to English everyday through TV English. I could learn a lot of expressions about practical English. One of my friends is a person who is really a beginner in English. When we meet each other, he always try to communicate and learn some expressions. Now we are getting along with each other very well due to English program in TV.</EX></SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, television has so lots of programs related to comic that that program give us happy.</MI2> <SI2><TR>In fact</TR>, some program is just a empty program. That means we can not think about what they say. We are just laugh at what they are saying or acting. <TR>In spite of this fact</TR> that afford us so many stories which can communicate with each other. <EX><TR>For instance</TR>, my sister like to watch TV program so called entertainment program. She always laugh at it when she watch it. <TR>Later</TR>, she rush to me and try to explain what they said and act. After she account for it, we always laugh at it loudly.</EX></SI2></BO2>

<CO>Even though some programs have bad effects on people, I think there are lots of good things about communicating with friends or family. Its information and its entertainment can make people more talk to each other. And also we can get along with each other due to TV.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,A very good essay! Nice work.,//
"78&Would you prefer to live in a traditional house or in a modern apartment building? Use specific reasons and details to support your choice
",::,"<IN>Some people want to live in a traditional house. Others want to live in a modern apartment building. When it comes to my personality, I really like to do something in a big city. And a modern apartment building is only located in a large city. <TS>As far as convenience and security are concerned, I prefer to live in modern apartment building to a traditional house.</TS></IN>

<BO1><MI1>There are so many people who live in a modern apartment.</MI1> <SI1>A modern apartment give people some beneficial things. Of them, convenience is one of most important things in terms of a modern apartment. You don’t need to worry about a housing-related problems such as heat and water. And you don’t have to go a distance market in order to buy food or something. Because there are lots of market in the near your apartment. <EX><TR>For example</TR>, several years ago, my cousin lived in a small town in which have not a modern apartment. Whenever he called on our house, he always complained about that he couldn’t buy some food or product easily. And some market is not located in his region. That’s why he have to go another place in a bid to buy his wants. Now he live in a modern apartment and he is really satisfied with his choice.</EX></SI1></BO1>

<BO2><MI2>Another beneficial thing is security.</MI2> <SI2><TR>Nowadays,</TR> the crime rates is high. Sometimes you have to be careful about where you are going at night. And if you live a traditional house, you have to really worry about a thief or burglar. And you have to don’t go out at night in order to escape to a dangerous situation. <TR>For instance</TR>, There are so many accidents associated with house. A tradititonal house is more ease to open than a modern apartment building. That’s true. <EX>One of my friend who live in a traditional house have some bad experience. Some burglar broke into his house and threatened his family. His house was so old that a burglar could get into his house without any effort. That’s really terrible event. <TR>However</TR>, If you live in a modern apartment, you don’t have to worry about that. Because there are lots of security guide and they are responsibility for your house.</EX></SI2></BO2>

<CO>Thanks to convenience and security, People want to live in a modern apartment building and both points are really important to us in the world. We really want to live in a convenient place and a safe place. A modern apartment building can afford us the chance to live in.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,An excellent essay! Good points. Great work.,//
79&You have been told that dormitory rooms at your university must be shared by two students. Would you rather have the university assign a student to share a room with you. or would you rather choose your own roommate? Use specific reasons and details to explain your answer.,::,"<IN>Some student want to make the university assign their roommate. <TS><TR>But personally</TR>, I think that I have to select the roommate because it is very enjoyable and can extend our ability from assistance.</TS></IN>
 
<BO1><MI1><TR>First</TR>, If I choose the roomate who are familiar with me in the hobby, I feel enjoyable and comfortable.</MI1> <SI1><EX><TR>For example</TR>, when I was young I was very happy because both I and my roommate go to theater frequently.</EX> <TR>Therefore</TR>, choose the roommate in our dormitory is very important because of same quality.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, roommate help to correct our wrong personality and extend our ability.</MI2> <SI2><EX><TR>For instance</TR>, when I am talking to my friend I always close my eyes during about five seconds. <TR>But</TR>, my roommate help me to treate my habit. <TR>So</TR>, I don't have that habit.</EX> <TR>Hence</TR>, good roommate influence his roommate also.</SI2></BO2>

<CO><TR>In conclusion</TR>, choosing my roommate provides not only enjoy but also helpfullness. we may reach the conclusion that selecting a roommate is the best choice which we can afford because we can enjoy safe life and help the other person to study hard.</CO>",::,5,::,4,::,5,::,4,::,3,::,4,::,3,::,3,::,3,::,"Your essay is too short to have so many transitions. Take some of them out, including in your thesis statement. Add a little more to your main paragraphs.",//
80&Some young children spend a great amount of their time practicing sports. Discuss the advantage and disadvantages of this. Use specific reason and examples supporting your opinion.,::,"<IN>Some young children spend a great amount of their time practicing sports. To spend a great amount of their time practicing sports is lie in two aspects that are advantage or not. <TS><TR>For instance</TR>, While Young children are learned by practicing sports, they can't study too much.</TS><IN>

<BO1><MI1><TR>First of all</TR>, by spend a great amount of time practicing sports; Young children get a health important to young children.</MI1> <SI1>Because to practice sports is help to grow young children. Also young children are given cooperative ability. <TR>For example</TR> some young child play soccer with the child's friends. The child have role in the game. If the child is defense, the child can't goalkeeper's role. This is cooperative sport. By playing sports, young children learn to cooperation.</SI1></BO1>

<BO2><MI2>But Young children aren't only getting a good profit from the practicing sports.</MI2> <SI2>If young children practice sports during too much time, they can't study hard. Because they haven' t enough time do study. So they cannot concentrate their schoolwork.</SI2></BO2>

<CO><TR>Conclusion</TR>, young children which are spend a great amount of their time practicing sports can get a advantage or disadvantage.</CO>",::,5,::,4,::,5,::,4,::,5,::,5,::,4,::,4,::,4,::,This is the beginning of a good essay. Add some more support to your argument and lengthen your conclusion!,//
"81&You need to travel from your home to a place 40 miles (64 kilometers) away. 
Compare the different kinds of transportation you could use. 
Tell which method of travel you would choose. Give specific reasons for your choice.",::,"<IN>If I travel about 64kilometers distance. I can harness two vehicles. one is my car and another is train because train station are near to my house. Each others disadvantages and superiorities can be emerged.</IN>

<BO1><MI1>Driving my car has disadvantage to tire me. and in my car I can feel rather lonely.</MI1> <SI1>train are a little noisy and I cat's fell my own trip. trip on train can go one place though I see via view in train. but the advantages on using train are exist. this help to travel in limited time. and I can feel more relax and people things within same train. and using train are more cheap than using my car.</SI1></BO1>

<BO2><MI2>but I will travel by my car. because most important thing in traveling are my own time.</MI2> <SI2>I can listen my favorite song in my car even if it is rather loudly. I can decide the road I want to. and then I can rest in free time I want to when feel so tired. this is the my important reason to settle my car in my trip.</SI2></BO2>

<CO>travel are valuing thing because it give us special feeling and experience unknown in boring life. using my car on trip can give me my favorite place. my favorite food. and listen, book , view etc and all of this. 64kilometers distance are possible that i bear myself preparing and trip because I love trip.</CO>",::,5,::,0,::,5,::,3,::,5,::,4,::,4,::,4,::,4,::,This is a pretty good essay! You need to add a thesis statement to your introduction that says what your preference is.,//
82&The government has announced that it plans to build a new university. Some people think that your community would be a good place to locate the university. Compare the advantages and disadvantages of establishing a new university in your community. Use specific details in your discussion.,::,"<IN><TS>The building of a new university in our community is a so important matter that we should carefully consider it. Although it seem to bring us wonderful advantages, such as providing job opportunities and a better community image, it also exact large tolls, such as noise and heavy traffic.</TS></IN>

<BO1><MI1><TR>On the one hand</TR>, building a new university in our community provides people with many opportunities and it builds a good reputation of our community.</MI1> <SI1>A university is very large organization which includes so many people that it makes many job opportunities. <TR>Moreover</TR>, it would make lots of extra facilities, such malls and bookstores, as well as restaurants. <TR>In addition</TR>, It can make our community have a good reputation because people generally relate a university only to the educational place. <EX><TR>For example</TR>, there is a city of education in our country, which had been just a typical industrial city before ABC , now a famous university in our country, was built in that city.</EX> <TR>In this respect</TR>, building a new university in our community have good influences in terms of a number of job opportunities and a good image of the city.</SI1></BO1>

<BO2><MI2><TR>On the other hand</TR>, building a new university in our community in our community has such negative aspects as noise and traffic jam.</MI2> <SI2>Since a university consists of young generations, they tend to enjoy lots of noisy activities. <TR>For example</TR>, there is a huge university, ABC, near my house. The students of the university often play guitar until late night. Even though it's beautiful music, if at night, nothing could be more bothersome than it. <TR>Moreover</TR>, building a new university could cause traffic congestion because a great number of cars will influx into our community. <TR>For instance</TR>, I observe very long lines of cars every morning in our community, which, as I mentioned above, has ABC university. <TR>Similarly</TR>, not only does building a new community have good influences, but it also makes people tired.</SI2></BO2>

<CO><TR>In short</TR>, building a new university in our community has both sides of a coin; one side is that it can help people have chance to get jobs and bring our community people's complimentary reputation, while other side is that it can make our community noisy and hectic, and make people get stuck one the road.</CO>",::,5,::,3,::,5,::,4,::,5,::,5,::,5,::,4,::,5,::,"I marked your entire introduction as your thesis statement, but you need to condense it into one sentence and add some more to the introduction. Also, take out the ""ABC University"" stuff. It is confusing. I didn't understand your first example at all. You can say ""If we had a university, then...""",//
"83&Some people prefer to work for themselves or own a business. Others prefer to work for an employer. Would you rather be self-employed, work for someone else, or own a business? Use specific reasons to explain your choice.
",::,"<IN>The goal of every person in life seems to be similar in terms of earning an adequate income, avoiding excessive stresses, and having much time for enjoying one’s leisure. Some people prefer to work for themselves or own a business while others more want to work as salaried man. As the world has changed very rapidly, more and more people are moving toward having own business in every field these days. <TS><TR>For this reason</TR>, I think that the best way to reach my goal is to work for myself.</TS></IN>

<BO1><MI1>If you quit the work as a salaried man and work for yourself, you will have an opportunity to make much money and to realize the real happiness in working.</MI1> <SI1>Work for oneself is, <TR>of course</TR>, very difficult and there is no guarantee to make much money. <TR>However</TR>, it can be thought easily that the real happiness approach you when doing your best due to the favorite work, just hope to do, in your field. <TR>Additionally</TR>, there are more people to succeed by making much money and this may be due to the energetic and positive attitude to work. <EX><TR>For example</TR>, when my father entered into the company at first, he would have many troubles in working for an employer and in maintaining good relationship with the others in company, especially with right-above supervisor. <TR>However</TR>, based on such a bitter experience, he could have much more money and feel far better after working for himself.</EX></SI1></BO1>

<BO2><MI2><TR>In addition</TR>, to work for oneself has a powerful merit by relevant controlling time to improve his daily life and to have leisure for increasing the quality of life.</MI2> <SI2>It is almost impossible to control the spare time only for one’s purpose in working for an employer. <TR>Nevertheless</TR>, if you do that, you might be fired at once and your family as well as you would be unhappy.</SI2></BO2>

<CO><TR>In conclusion</TR>, attaining great success in any field is to work for oneself or own a business. If you stop working as a salaried man and start for yourself, you will have a chance to make much money and to realize what is the real happiness in working. <TR>Additionally</TR>, working for oneself has a powerful merit by relevant controlling time to improve his daily life and to have leisure for increasing the quality of life. <TR>Therefore</TR>, I will do my best to come true my dream by working for myself with all my heart. The significance of these advantages attained by working for us will can be more and more increased as several factors surrounding us such as economy, society, politics, and culture etc. increase.</CO>",::,5,::,4,::,5,::,5,::,3,::,5,::,5,::,5,::,5,::,"This is a good essay, except that it has too many transitions! Take the transition out of your thesis statement and it will be much better. As a rule, if you have three sentences in a row with transitions, you are using too many. Also, add a little more to your second main paragraph.",//
"84&Do you agree or disagree with the following statement? People are never satisfied with what they have; they always want something more or something different. Use specific reasons to support your answer.
",::,"<IN>The world has been changed in many points by people since the advent of human. People have been developed the most efficient or useful devices whenever they felt uncomfort in any fields. Although some says that people always satisfy with what they have, I want to tell them the creativities of people. <TS><TR>Simply</TR>, I agree with the statement that people always want something more or something different in that human has been made something new which was convenient and people have been changed from generations to generations.</TS></IN>

<BO1><MI1>Human is the animal having thoughts. So they have been tried to change their inconvenient environments which include uneasy tools, uncomfortable houses, or methods of transportation.</MI1> <SI1><TR>For example</TR>, a car which used people as their transportation in 1920 had not roof protecting the dust or rain from sky. People had started feel the annoying about no-roof car, so they developed the new-designed car that has roof covering irritative dust and rain. In that sense, people have been changed permanently.</SI1></BO1>

<BO2><MI2><TR>Also</TR>, People have been learned about many living knowledges from their forefathers during their lives.</MI2> <SI2><TR> Moreover</TR>, the recipients had developed the knowledges to much deep and wide things. We left records such as books concerned to our knowledges and our progenitor will develop our knowledges and thoughts. because they always think about new things and want to change.</SI2></BO2>
<CO>All things considered, I'm a proponent who insist that people are never satisfied with what they have. <TR>Namely</TR>, they always want something more or something different in that people have cram for the more comfortable and useful things.</CO>",::,5,::,4,::,4,::,4,::,5,::,4,::,4,::,4,::,4,::,"I am not sure what your second paragraph has to do with the topic. Are you trying to show that people have wanted more all throughout history? Be clear about what you are saying. As it is, your points are a little weak, but they will work. Take the transition out of your thesis statement to make it perfect.",//
85&Do you agree or disagree with the following statement? Only people who earn a lot of money are successful. Use specific reasons and examples to support your answer.,::,"<IN>There are a large number of millionaires who earn money to burn. Some of them may succeed in their life, but I don’t think all of them are acknowledged. Since success is not a factor that is determined absolutely, the standard of being succeeded is different among the individuals. It can be the matter of being rich, being esteem, or being satisfied. <TS><TR>Hence</TR>, people’s fulfillment is not based on moneymaking.</TS></IN>

<BO1><MI1><TR>As I stated previously</TR>, there are other standards than earnings in success.</MI1> <SI1>Reputation, esteem, and accomplishment are the very measures. <EX><TR>For example</TR>, Gandhi, one of the most honorable leaders, is highly respected even though he had been in destitute.</EX></SI1></BO1> 

<BO2><MI2><TR>Besides</TR>, there are several people who achieved their personal dreams. I think they are also success even if the dreams are regardless of money.</MI2> <SI2>Alpinists, <TR>for an instance</TR>, think their most desiring goal as the conquest of a high mountain. That gives no financial profit to the mountaineers, but they feel great achievements about their accomplishments.</SI2></BO2>

<BO3><MI3><TR>Moreover</TR>, money cannot be the unrivaled solution to all problems.</MI3> </SI3>It cannot buy love, happiness, life, or other more meaningful things. <TR>Therefore</TR>, it cannot be said that money always makes one succeeded, without exception in this case.</SI3></BO3>

<CO><TR>In short</TR>, gaining wealth is not a condition of success. Many people are looking for earning money only, but it is undesirable. If they don’t pay all attention to the money, they may enjoy the real success somedays.</CO>",::,5,::,4,::,5,::,5,::,5,::,4,::,4,::,4,::,4,::,This is a pretty good essay. It needs a little more support. A paragraph should be 4-5 sentences long as a mininum. Take the transition out of your thesis statement to make it stronger.,//
"86&Some people prefer to work for themselves or own a business. Others prefer to work for an employer. Would you rather be self-employed, work for someone else, or own a business? Use specific reasons to explain your choice.",::,"<IN>There are various kinds of vocations in the world. <TR>However</TR>, the types of employment is just two, being employed by someone or employing others. The choice may depend on the personality of each person. <TS><TR>For my part</TR>, I prefer to work for others as a member of organization rather than to own a business as a CEO.</TS></IN> 

<BO1><MI1><TR>First</TR>, I have many opportunities to learn from experienced seniors.</MI1> <SI1>Everyone can be my mentor who advises me to do the right thing in the right way, as they have gone through many try-and-errors before. <EX><TR>For example</TR>, my boss plays an important role as a guiding-light in the meeting with buyers whose decision may have a critical effect to our company. <TR>In addition</TR>, my colleagues also help me to work on my task more effectively.</EX></SI1></BO1>

<BO2><MI2><TR>Second</TR>, I am satisfied with an ordinary life.</MI2> <SI2>Neither reputation nor authority is my concern. Becoming a millionaire is out of my interest, too. I prefer living a safe life to taking some risk. As my company have compensated for my effort with regular payment, although that is not much, I can plan and manage my life on my own with my family.</SI2></BO2>

<CO>I would rather work for an employer than work for myself. To own a business is too risky for me and requires much time and effort than I can afford. I don’t want to be a workaholic. What I have pursued is a peaceful life with my family, and I am enjoying it right now.</CO>",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,I really enjoyed the sensibility and honesty of your argument. Excellent work! ,//
87&Do you agree or disagree with the following statement? Playing a game is fun only when you win. Use specific reasons and examples to support your answer.,::,"<IN>There is nothing like victory to amuse people enormously. <TR>Nevertheless</TR>, we cannot always win a game. Some people feel angry to the death whenever they lose it, while others think that it is satisfying game although they are defeated. Even though triumph is the precious fruit of endeavor to win, I cannot say which one is the correct answer. <TS><TR>But</TR> I mostly agree that a game is pleasant even when I lose it.</TS></IN>

<BO1><MI1>It is a procedure of a game that really makes people happy.</MI1> <SI1>All games, whether it is only for fun or not, have to undergo certain procedures. Members of game should collaborate one another and observe rules. A series of these procedures give us much sense of achievement and satisfaction. <EX><TR>For instance</TR>, I feel I'm purified whenever I play basketball with my friends. That feeling has nothing to do with whether I win or not.</EX> People are able to gain pleasure not after but during a game.</SI1></BO1>

<BO2><MI2>Challenge for next victory is another joy of a game.</MI2> <SI2><TR>That is</TR>, defeat means there is something to challenge. People who lose a game try to win next time. So, they prepare the game and look forward to playing with their opponents for revenge. <EX>Once I lost a soccer game, our team exercised and practiced everyday to win next time. We had ambition to win. I think that that was happiness itself.</EX> A game makes people challenge again and that gives people full satisfaction.</SI2></BO2>

<CO><TR>In short</TR>, a game is fun regardless of its result. One reason is that a game itself gives much pleasure. The other is that a game offers another challenge when it is defeated. <TR>Actually</TR>, the most important thing in a game is not a result of it but a game itself and its player.</CO>",::,5,::,4,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,"A very good essay! Take the 'But' out of your thesis statement. You can make it much stronger by replacing it with something like ""I believe"" or ""In my opinion"".",//
