essay,::,StudentResponse,::,I/B/C,::,Thesis,::,Topic,::,Coherence,::,Transition,::,Main Idea,::,Supporting Idea,::,Style,::,Usage,::,Critique,//
361&It is more important for students to study history and literature than it is for them to study science and mathematics. Use specific reasons and examples to support your opinion.,::,"<IN>To study science and mathematics as well as history and literature is important in that all the knowledge about them can be useful in various aspects during one's lifetime. <TS><TR>In my opinion</TR>, however, studying history and literature is more essential than studying science and mathematics to students, especially to young students.</TS></IN>

<BO1><MI1>The knowledge about science and mathematics can be used practically in daily life.</MI1> <SI1><TR>For instance</TR>, mathematical knowledge or skill can be applied when paying one's bill in a restaurant, or accounting one's balance at a bank. But what is really put to use, in general occasion, among the tremendous and difficult formulae we learn in school is only that of very basic level. Even in the relatively rare situation when more difficult and professional formulae or knowledge are needed, we can look them up easily in a reference book.</SI1></BO1>

<BO2><MI2><TR>On the other hand</TR>, history and literature may seem to be useless in practical perspective.</MI2> <SI2>They, nevertheless, give us general and lifelong instructions which can guide our whole life, and play an important role in the formation of our personality. A hero in a novel who had once fell in a trouble but got through it successively can bring us precious courage and wisdom. <TR>Similarly</TR>, it is widely known that we cannot cope with our present and future well without understanding of our past, or our history. </BO2>

<CO><TR>In conclusion</TR>, while acquiring just the basic knowledge about science and mathematics is enough in one's daily life, the more one studies history and literature the more colorful and deeper one's life becomes.</CO>",::,3,::,4,::,4,::,4,::,3,::,4,::,3,::,4,::,4,::,The essay was a bit short without the trnasitions and examples that would have made it a great essay. It was decent in as much as it was written.,//
362&Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.,::,"<IN><TR>Sometimes</TR>, studying in a group can be beneficial for those who lack the will to study voluntarily, or who are in short of time in which to cover all the assignments or problems alone. <TS><TR>As a rule</TR>, however, studying alone is more preferable to group study for several reasons.</TS></IN>

<BO1><MI1><TR>First</TR>, there are fundamental dimensions in studying that one cannot resolve by group study, like learning by heart and understanding.</MI1> <SI1>Studying history or geography, one should memorize names, dates, places, and so on for oneself. <TR>Similarly</TR>, studying mathematics, one should understand how to solve problems alone to pass an examination, besides just knowing some formulae superficially.</SI1>These are fundamental dimensions in studying that one should resolve for oneself. </BO1>

<BO2><MI2><TR>Second</TR>, studying alone, one can control the level, speed, and quantity of study according to one's own need without considering what others need to know.</MI2> <SI2><TR>In other words</TR>, there is no need to bother to spend one's time on discussing the meaning of poetry with other group-study members about which one has already known well when one really needs to know as soon as possible about mathematical solution.</SI2></BO2>
 
<BO3><MI3><TR>Finally</TR>, one can select time and place for studying to one's own convenience at any time and any place when studying alone.</MI3> <SI3>In group study, on the other hand, time and place for studying should be organized beforehand considering each member's opinion.</SI3></BO3>

<CO></TR>Therefore</TR>, it can be said that studying alone is more preferable to group study, especially when one is able to control one's will and time to study.</CO>",::,3,::,5,::,4,::,4,::,4,::,5,::,3,::,4,::,4,::,The essay was structured very nicely except for a tacked on third paragraph that did not feel like it belonged because it had nothing to support the rest.  The main ideas were stellar though and worked well to hold up the essay as a whole.,//
363&Do you agree or disagree with the following statement? Parents are the best teachers. Use specific reasons and examples to support your answer.,::,"<IN>we can meet many teachers during our life. Some people thinks that parents are the best teachers, while others say that their friends are. <TR>In my case</TR>, I believe that parents are best teachers. <TS><TR>In this essay</TR>, I will show why the parents are important to me.</TS></IN>

<BO1><MI1><TR>First of all</TR>, can you remember your childhood when you learned how to read, how to write, and unintentionally how to speak.</MI1> <SI1><TR>When I was young</TR>, my parents made me learn about sociality. <TR>Through their directions</TR>, I could acquire how to live in this society irrelevant to my willness. If I were born to be in USA, I could speak English. If I were born to be in jungle, my best teachers, as you know, would be monkeys.</SI1> <TR>In this respect</TR>, I learn from my parents how to be adapted to this society.</BO1>

<BO2><MI2>Another main reason is that my parents guide me into right places.</MI2> <SI2><TR>In other words</TR>, I have experienced to learn about moral standards, social values. Some people maintain that we learn from our friends or teachers. <TR>However</TR>, my friends do not have enough ability to teach me because they need also to learn from older people, and although my teachers can teach me, they are too busy to educate me about ethinic aspects.</SI2> <TR>For this regard</TR>, my parents who I meet everyday are the best teachers to let me know about social values. </BO2>

<CO><TR>Clearly</TR>, parents could be the best teachers in my life, ranging from learning how to speak to learning how to live a society as a productive person. Though we live in the 21st century, the parents play an important role in educating their children.</CO>",::,3,::,3,::,4,::,4,::,3,::,4,::,3,::,4,::,4,::,The structure was not very supportive to the body of the essay as the introduction and conclusions were too short to provide much. The thesis as well was a bit weak. Some additional examples to move out the generalizations provided would have been good.,//
364&It is better for children to grow up in the countryside than in a big city. Do you agree or disagree? Use specific reasons and examples to develop your essay.,::,"<IN><TR>These days</TR>, many people who live in a big city leave their town to countryside in Korea. Because they think that there are many faults such as, very expensive prices, serious traffic jams, and rising crime rates in a huge town. <TR>However</TR>, it’s only for adults not for children. <TS>Raising the young children in a big city has lots of advantages for them.</TR></IN>

<BO1><MI1><TR>First</TR>, a big city gives various educations to children.</MI1> <SI1>There are many educational opportunities in a big city. <TR>In Korea</TR>, two-thirds of universities are located in a big city. <TR>Therefore</TR>, parents who brought up young children don’t want to leave a big city. A child who lives in a big city has more accessibility to a number of things including art museums, science museums, special schools and restaurants.</SI1>We can teach children art, science, and manners in these places. </BO1>

<BO2><MI2><TR>Secondly</TR>, children who live in a huge city can enjoy more cultural activities.</MI2> <SI2><TR>For example</TR>, there are more zoos, theaters, music concerts, and dances in a big city than in the countryside in Korea. Children in a big city have many opportunities to go there, so they can learn more about culture. And a big city has more people to interact with.</SI2> <TR>Therefore</TR>, children growing up in a big city tend to be more social than children growing up in a small village. </BO2>

<CO><TR>As I mentioned above</TR>, a big city has lots of educational and cultural opportunities for children. <TR>Therefore</TR>, there are more advantages in a big city for children than in the countryside. If I have a child, I want to nurture him or her in a big city.</CO>",::,3,::,2,::,4,::,4,::,4,::,3,::,3,::,3,::,4,::,The structure was not very supportive to the body of the essay as the introduction and conclusions were too short to provide much. The thesis as well much too weak. This weakness in the thesis prevented the main body ideas from having much for the supporting ideas to work with. It was a cascading effect that made the essay as a whole a pleasant read of nothing.,//
"365&Nowadays, food has become easier to prepare. Has this change improved the way people live? Use specific reasons and examples to support your answer.",::,"<IN><TR>These days</TR>, one of the revoluntioanary changes is a way to perpare for food. <TR>However</TR>, some people do not think that it improve the qualities of our life, while others say that it ameliorate them. <TS><TR>In my case</TR>, I think that the development in preparing for food enhance the qualities of our life in many ways.</TS></IN>

<BO1><MI1><TR>First of all</TR>, some people say that preparing food quickly is not good.</MI1> <SI1>That is why new methods deprive cooks of the enjoyment of cooking. It is true that people don't need to work hard. In makret, there are a variey of food sources and alreay-made food materials. People don't have to cook excepting of operating microwave for a short time. <TR>So</TR>, They are deserved to complain of their lost of enjoyments of cooking. Also it is well known that fast food is usually harmful to us in that it bring us fat.</SI1><TR>Therefore</TR>, new cooking ways do not always advantageous. </BO1>

<BO2><MI2><TR>However</TR>, we need to consider another side.</MI2> <SI2>The current ways to prepare food give us more convenient life style. <EX><TR>For example</TR>, 30 years ago almost all the families used the coal and wood for their heat. <TR>As you expect</TR>, it was hard working to treat them well. If you used coal, you must remember to keep coal burning and if you had wood for cooking rice, you need to gather a chump of heavy wood in the mountain or in the market. <TR>However</TR>, to use natural gases and electircity in cooking is common. It is so easy to use.</EX> <TR>In addition</TR>, present ways to prepare food provied people with more leisure time. <EX><TR>For example</TR>, my mothers and my grandmothers spent 3 hours for dinner. <TR>However</TR>, it takes 1 hours or 30 minutes.</EX></SI2> <TR>In other words</TR>, they can have more free time to enjoy their time like reading book and taking to their friends. </BO2>

<CO><TR>In conclusion</TR>, easier preparing cooking is beneficial to us in that it make our life more convenient and enjoy our leisure time. Although some people suggest that shortcomings causing us to be fat and to lose our good memory in cooking time, I think the advantages outweigh disadvantages.</CO>",::,4,::,3,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,This was an okay essay that was hurt in part because of how short it was. More details would have helped the essay. The other issue was in the introduction where a full half of the paragraph should have been combined into one sentence to make the thesis.,//
366&Do you agree or disagree with the following statement? All students should be required to study art and music in secondary school. Use specific reasons to support your answer.,::,"<IN>It has been a controversial topic in this country whether art and music should be taught in secondary schools, as students and their parents only keep focusing on entering good universities. Subjects such as art, music and athletics have been outsiders for a decade, because these are not required subjects for college entrance. <TS>I, however, think that these subjects are essential for students to study and to develop their views for the following reasons.</TS></IN> 

<BO1><MI1>Music and art can be good means to help students study other subjects.</MI1> <SI1>Art has been a main subject used from ancient times to teach students, because it was believed that most studies were related each other. The method of teaching that has followed that belief has worked. <TR>Therefore</TR>, we know there were many scientists who were also artists, for example, Einstein. There are even some schools which are named &quotWaldorf schools&quot throughout the world in which they teach students in a musical environment to enhance the quality of all their classes.</SI1></BO1>

<BO2><MI2><TR>Also</TR>, music and art are requirements to help students live harmonious lives. <MI2><SI2><TR>As we grow older</TR>, we learn to look at something from our own perspective, which changes from time to time throughout our lives. We can learn what harmony is as we listen to and play music, and as we look at and draw pictures. Those music and art works that we listen to and look at during high school and middle school are intended to help us perceive the world in a holistic way. Students between the ages of 13 and 19 are most susceptible to such influences on their lives.</SI2></BO2>

<CO><TR>Therefore</TR>, I believe that music and art should be required in secondary school. The teaching of music and art in schools can provide a good foundation for the teaching of other subjects and is indispensable to help students develop good views of the world around them.</CO>",::,4,::,5,::,4,::,4,::,4,::,5,::,4,::,5,::,5,::,The author does a great job presenting the essay in such a way that allows the conciseness of the essay to be hidden with the structure of the essay and the words themselves. Great job.,//
"367&Neighbors are the people who live near us. In your opinion, what are the qualities of a good neighbor? Use specific details and examples in your answer.",::,"<IN>since human being lived together, the group that is consisted of people living in certain community is wider in size, and more various in culture in modern city than that of the ancient. it is necessary for developing of a community that people make an effort to form a good neighborhood. somepeople say it is adequate for the qualities of a good neighbor to some abilities like cooperationship, kindness, and scholarship. <TS><TR>but in my opinion</TR>, respecting neighbors and sociality is more important than any other thing.</TS></IN>

<BO1><MI1><TR>First of all</TR>, people can build good relationship with neighbors when they respect neighbor's privacies.</MI1> <SI1>a good relationship is made through mutual belief. without respecting of neighbor's privacies, opinions, and life styles, they lose their credit each other. assume that a family trouble happen in your neighors. if you talk about the trouble with other people, and if you criticize publically, the family distrust you and even other neighbors may treat you untrustworthy. so it is no good of interfering with a neighbor's private life.</SI1>we never talkative with others. when trusting, and respecting their life, people are able to make good neighborhoods. </BO1>

<BO2><MI2><TR>moreover</TR>, sociality helps people to trust each other as quick as possible. </MI><SI2>understanding neighbors is a precondition for making better neighborhood. when they want to understand each other, it is helpful to share their hobbies, to have a dinner together, and to talk about common interests. if someone is introspective, it is difficult to close one's neighbors because he or she is not able to bave various opportunities for understanding them. sociable person can approach his neighbors easily, and so makes extended personal relation. when i want to know neighbors, sociable neighbors can support me to meet good persons.</SI2> <TR>so</TR>, sociality is needed necessary to neighbors as well as to me. </BO2>

<CO><TR>In conclusion</TR>, when people have sociality and people can respect their neighbors, they are regarded as a good neighbor to their neighbors. so, sociality and respecting neighbors is the best condition to be a good neigbor.</CO>",::,3,::,3,::,4,::,4,::,3,::,4,::,3,::,4,::,4,::,The essay was decent but was a bit to short to allow enough to be set asside for transitions and supporting ideas.,//
368&It is better for children to grow up in the countryside than in a big city. Do you agree or disagree? Use specific reasons and examples to develop your essay.,::,"<IN>Some people say it is better for children to grow up in the countryside than in a big city. they think children can experience nature-friendly environment, something like cultivation, so it provide various benefits to children. <TS>but i think childrens can experience more important, and more necessary things in a big city than in a countryside because they can attain better useful educations, cultural favors, and abilities of keeping up with modern sociaty.</TS></IN> 

<BO1><MI1><TR>First of all</TR>, big cities have good instruments and facilities for the educations of childrens.</MI1> <SI1>those tools help childrens to develop their latent abilities.</SI1> the education in childhood can vital influence on their adulthood, so what they learn and how they learn are more important than others before they grow up to adult. </BO1>

<BO2><MI2><TR>next</TR>, the facilities like theaters, concerthalls are centralized on a big city.</MI2> <SI2>it give various cultural favors to childrens, so they can advance in their cultural senses.</SI2>that they experience a wide range of views to a certain event or thing through cultural facilitiescan increase children's logical thinking power. </BO2>

<BO3><MI3><TR>moreover</TR>, it is necessary that people make an effort to adapt to continuous changes caused by modern sociaty.</MI3> <SI3>so childrens living ia big cities can have more chances to develop their abilities of keeping up with modern sociaty than those living in a countryside. </SI3>the core of changes usually has happened in big cities, thus they can approach more easily to popular trends or current in social mood. </BO3>

<CO><TR>In conclusion</TR>, although childrens living in a countryside have a variety of adventages, i say the benefits that childrens living in a big city have are more important to their growing up than those in a countryside because they play a vital role in forming of children's abilities.</CO>",::,3,::,4,::,5,::,4,::,4,::,4,::,2,::,4,::,4,::,The essay was decent but was a bit to short to allow enough to be set asside for transitions and supporting ideas. There were almost nothing to the supporting ideas or examples in the whole essay.,//
369&Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.,::,"<IN>Usually the method of studying something consists of studying alone and studying with several friends. <TS>Although studying by oneself is helpful according to concentration and saving time, I prefer group study due to next many reasons.</TS></IN>

<BO1><MI1>The first reason to prefer a group study is to sharing the information which the members to make up for a study group have.<MI1><SI1>When I was a freshman in a university student, I organized a study group to learn economics. <TR>During the activity</TR>, wonderful things that my friends thought make me surprise.</SI1>Because they had the knowledge that I could not think. </BO1>

<BO2><MI2><TR>The second reason to prefer a group study is many task assigned to me from the study group belonging to me.<MI2><SI2>The study group I act five years ago deal with many economic phenomenon. So we also had many homework to do. It made me very dillegent.</SI2>Thanks to my early experience like a study group, I still live hard. </BO2>

<CO><TR>As shown above that</TR>, studying with many friends bring us many advantages like above that. So I still am studying by organising a study group to study TOEFL for 3 hours everyday. I am getting a lot of information and knowledge on TOEFL by sharing each thoughts. How do you think about that?</CO>",::,3,::,3,::,4,::,4,::,4,::,4,::,3,::,4,::,4,::,The essay was decent but was a bit to short to allow enough to be set asside for transitions and supporting ideas. There were almost nothing to the supporting ideas or examples in the whole essay.,//
"370&Some people prefer to live in a small town. Others prefer to live in a big city. 
Which place would you prefer to live in? Use specific reasons and details to support your 
answer.",::,"<IN>Some people like to live in a small town, others like to live in a big city. <TR>According to those who prefer to a small town</TR>, a small town has some advantages such as kind neighbos and unpolluted environments. Moreover they will point out that air pollution, isolation and traffic jam make a big city unattrative place to live. <TS><Tr>In my opinion</TR>, however, social infrastructures, cultral benefits and education, which are advantages, overweigh above mentioned drawbacks. So I prefer to live in a bic cty.</TS></IN>

<BO1><MI1><TR>Firstly</TR>, a big city has good-conditioned infrastructure.</MI1> <SI1>It has wide roads, public transportations, electricity system and so on. Thus life in a big city is very convinient and comfortable. <EX><TR>For example</TR> Seoul, capital of Korea, has eight subway lines that lead us to all over the place in Seoul.</EX></SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, we can enjoy various cultural benifits in a big city.</MI2> <SI2>Most of the movie theaters, music concert and sports complex is concentrated in a big city. <TR>Thus</TR>, Whenever you have spare time, you can enjoy cultral life. Two or three months ago, 2002 world cup soccer game was held in Korea, each game was hled in big cities of Korea.</SI2>So those who live in a big city can more excitingly enjoy the game. </BO2>

<BO3><MI3><TR>Thirdly</TR>, Most of institutes of education are located in a big city.</MI3> <SI3>Therefore it is more helpful for students to live in a big city. <TR>In Korea</TR>, excellent universities such as SNU, KAIST are located in a big city and you can take an opportunity for high-quality education.</SI3></BO3>

<CO><TR>To sum up</TR>, I can say that I prefer to live in a big city. Living in a big city gives us many chances to take cultural benefit and to take more systematic education. <TR>In addition to that</TR>, we can use many facilities that do not exist in a small town.</CO>",::,4,::,4,::,4,::,4,::,4,::,4,::,2,::,4,::,4,::,The essay was decent but was a bit to short to allow enough to be set asside for transitions and supporting ideas. There were almost nothing to the supporting ideas or examples in the whole essay.,//
371&It has recently been announced that a new movie theater may be built in your neighborhood. Do you support this plan? Why? Use specific examples to support your answer.,::,"<IN>Some people say that a new movie theater in my neighborhood would have positive results. <TR>However</TR>, I entirely disagree with the plan to build one. Despite the fact that a new movie house in my neighborhood would be convenient ; saving time, other facilities (fast food restaurants, arcades, shopping mall) , it might have more bad things. <TS>I feel that neighborhood may become overcrowed and it would bring lower value of neighborhood.</TS></IN>

<BO1><MI1><TR>Firstly</TR>, my neighborhood is considered a quiet area and as a result I can enjoy my free time alone or with my family without disturbance.</MI1> <SI1>Why do we need our home? Home is a place to relax ourselves and to escape from a dreary society. <TR>However</TR>, if a movie theater would be my neighborhood, my neighborhood would become congested. <TR>For this reason</TR>, there would be a lot of noise , so we can not appreciate our time calmly. It might harmful to our mind. <TR>In addition to this</TR>, rubbish problem would happen. It might make our environment to pollute.</SI1>Who wants to live in dirty circumstance? </BO1>

<BO2><MI2><TR>Secondly</TR>, cinema complex is often controlled by underworld elements like gangs and drugdealers and it usually swarmed with scoundrel and rogue.</MI2><S12> It might make value of my neighborhood go down and protecting from police might be less. <TR>Furthermore</TR>, city official lose interest in neighborhood and bad public transportation would happen.</SI2>That means a movie theater in my neighborhood would be dangerous and inconvenient . </BO2>

<CO>Taking everything into account, a movie theater will give a neighborhood unfavorable life and unsafe circumstance. <TR>Of course</TR>, a movie house in my neighborhood would be very servicealbe. <TR>However</TR>, how often do you see films in the movie theater? It might happen very often. <TR>Moreover</TR>, the most important thing is that many people follow snug environment and a movie house in my neighborhood could remove the opportunity to relax at home. <TR>In my opinion</TR>, I don’t support the plan that a movie theater is built in my neighborhood.</CO>",::,4,::,4,::,4,::,4,::,4,::,4,::,3,::,4,::,4,::,"There is decent content to this essay but there is a lack of supporting ideas and examples to make this a truly great essay. There is a good structure to the essay, however.",//
372&Many students have to live with roommates while going to school or university. What are some of the important qualities of a roommate? Use specific examples to explain why these qualities are important.,::,"<IN>While many students are going to school or university, they have to live with roommates. In order to live well with a roommate, what qualities of a roommate do we think about? <TS>I believe that the most important qualities are responsibility, respect, and to be supportive, friendly.</TS></IN>

<BO1><MI1><TR>First of all</TR>, I believe that responsibility is the first important quality of a roommate.</MI1> <SI1>We usually argue about trivial problems with someone who we live together like roommates. <EX><TR>For instance</TR>, taking out garbage, paying rent on time, and cleaning ,etc. We shouldn’t think that a small problem is trifling. This small one is getting bigger and it makes us avoid a trivial matter.</EX> <TR>Finally</TR>, your house would be messy. <TR>However</TR>, if your roommate have a responsibility , this problem will be solved easily.</SI1> <TR>In addition to this</TR> you can get more time to study in stead of arguing , cleaning your house and so on. </BO1>

<BO2><MI2><TR>Secondly</TR>, they should respect the another roommates.</MI2> <SI2>We have a each private life and we have a right to enjoy our privacy. If someone who I don’t know well interfered in my life, it might make me angry. <TR>On the other hand</TR>, if they respect each other, it will make me feel comfortable, good and relaxed.</SI2> <TR>For this reason</TR>, roommates should respect their roommates. </BO2>

<BO3><MI3><TR>Thirdly</TR>, Being supportive, friendly and fun to be with not boring.</MI3> <SI3><TR>Generally</TR>, studying is very stressed to people and a school life is difficult. <TR>However</TR>, if you have a supportive , friendly roommate, your roommate can help you. A roommate can give balance to college life, and you don’t feel lonely.</SI3> <TR>Moreover</TR>, your funny roommate can make you forget your problems at least at your home. </BO3>

<CO><TR>As it was previously stated</TR>, the important qualities of roommates are responsibility , respect and to be supportive, friendly. Human can not live alone. We have to live with another people and we are influenced from people. That’s why meeting people is very important. <TR>Especially</TR>, the people who we meet during school days is the most important in your life and they will affect your life. I feel very strongly that we should have roommates who have qualities that I mentioned earlier.</CO>",::,4,::,5,::,4,::,4,::,4,::,5,::,3,::,4,::,4,::,This essay has a great thesis as the sturcture for many great points to be made to support the author's argument. The problem is there are too few examples and supporting statements to make the essay what it could have been.,//
373&Some people prefer to live in a small town. Others prefer to live in a big city. Which place would you prefer to live in? Use specific reasons and details to support your answer.,::,"<IN>Some people say that living in a small town is better and others take an opposite position and say that living in a big city is better. Each has its own advantages and disadvantages. I, however, prefer to live in a big city. <TS>There are two reasons to support my choice: people can have many cultural benefits and gain better educational chances.</TS></IN>

<BO1><MI1><TR>First</TR>, People who live in a big city get easily many cultural benefits.</MI1> <SI1><TR>Generally</TR> big cities have a lot of theaters, museums, bookstores and so on. If I live in a small town, I have to go there in order to experience those facilities by spending much time and money. But city persons do not have to do those. If they want to go to there, they always can go there in a few minutes.</SI1></BO1>

<BO2><MI2>The second reason to prefer to live in a big city is to abtain many educational chances.</MI1> <SI1>Big cities give us a lot of information and educational chances. There are many schools and institutes in a big city. <TR>Because I lived in a country</TR>, I was very difficult to choose the university which I want to attend.</SI2></BO2>

<CO><TR>In conclusion</TR>, although living in a small town gives us many advantages : pure air, clean water and good relationship with neighbors, I am for living in a big city due to getting many cultural benefits and a lot of educational chances and information. <TR>In particular</TR>, some people including me think that abtaining the educational chances are more essential than any reasons.</CO>",::,4,::,4,::,4,::,4,::,4,::,4,::,2,::,4,::,4,::,The essay was decent but was a bit to short to allow enough to be set asside for transitions and supporting ideas. There were almost nothing to the supporting ideas or examples in the whole essay.,//
"374&In general, people are living longer now. Discuss the causes of this phenomenon. Use specific reasons and details to develop your essay.",::,"<IN>Medical care is more available to people. Although not everyone can get the best health care, everyone can get basic health care and advice. When people are seriously ill, they can go th a public hospital and be taken care of. Years ago, health care wasn't available to everyone. Some people didn't live near a doctor of a hospital, and others couldn't pay for the care they needed. They made to withe herbal medicines of folk remedies. Of course, some of these worked, but not for the more serious diseases. </IN>

<BO1><MI1>the qualith of medical care has improved.</MI1> <SI1>That's also a factor in longivity. Doctors know more now about what causes disease and how to cure it. Years ago, doctors onl knew about the most basic diseases and cures. Medicine was not wery advanced. You could die from something as an infection from a cut. Now we have antibiotics and other medicines to help cure infections.</SI1></BO1>

<BO2><MI2>Peolpe are also living longer now because of better nutriton.</MI2> <SI2>We're eating better and more healthfully than we used to. That's reduced the number of people with heart disease and cancer. We try to eat low-fat foods and eat more vegetables and fruits, which are now available year-round.</SI2></BO2>

<CO>Improved medical care and healthy eating habit has greatly expended our life spans. What we need to do now is make sure that everyone in the world has these benefits.</CO.",::,3,::,0,::,2,::,3,::,3,::,4,::,1,::,4,::,3,::,This essay isn't really much of an essay. There isn't a thesis statement. There isn't anything presented as evidence besides the most basic of generalizations.,//
"375&Do you agree or disagree with the following statement? Attending a live performance (for example, a play, concert, or sporting event) is more enjoyable than watching the same event on television. Use specific reasons and examples to support your opinion.",::,"<IN>I can see many kinds of programs in T.V Concert, sports game, opera, musical, etc. T.V provides me opportunity to see performance in live may be I can't see in my life .If there are famous musical because one actress play his role very well. But if the actress retired or died long ago, how can I see the musical ? Maybe in T.V I can see the musical. 

<TS>But if I have to take one, between lice performance and T.V, I’ll take live performance.</TS></IN>

<BO1><MI1><TR>First</TR>, in T.V I can see only what T.V. cameras allow to see.</MI1> <SI1><TR>During 2002 KoreaJapan Worldcup</TR>, I enjoyed to read articles written by whom have watched the games in stadium. They w개te what Korean soccer players act or what they said when they got yellow card, got goal or win which I couldn't see in T.V.</SI1></BO1>

<BO2><MI2><TR>Next</TR> I prefer live performance because there are many people who feel what I feel.</MI2> <SI2>We jump together, scream together. <TR>During 2002 Worldcup</TR> millions of Korean gathered in plaza, around big screen to see soccer game. It was so hot and uncomfortable but so exiting and fun. When Korean team got a goal, or win korean screamed together, jumped and bug each other. There are just large screen but different from T.V because there are many people like live performance.</SI2></BO2>

<BO3><MI3><TR>Finally</TR>, I can see my favorite singers upclose and personal.</MI3> <SI3>If I am lucky, I can shake hands with them or can have autograph. If they take mistake it must be fun and feel familiar with them than disappointing about them. But I can't see that kind of happen in T.V. </SO3></BO3>

<CO><TR>In brief</TR> I prefer live performance than watching T.V. By attending live performance I can see what I can't see by watching T.V and much more fun with a large audience and I can see famous person much more closer than T.V.</CO>",::,4,::,4,::,4,::,4,::,4,::,4,::,3,::,4,::,4,::,"There is decent content to this essay but there is a lack of supporting ideas and examples to make this a truly great essay. There is a good structure to the essay, however.",//
376&Some athletics and entertainers earn millions dollar every year. Do you think they deserve to have such money? Give specific reasons and example.,::,"<IN>It seems that money governs the life of each individual in modern society since almost every nation adopt the market economy system. <TR>Accordingly</TR> some make such a great quantity of it; while others cling to trivial amount of income. How much cash people make completely is up to talent and skill of respective individual. <TR>Thus</TR>, it is fairly right for athletics and entertainer whose ability is at excellence to obtain much money. <TS>There are two reasons based on the favor of their money making at a large amount.</TS></IN>

<BO1><MI1><TR>First of all</TR>, a decisive element for the sum of money depends on the rareness of the talent which individuals have.</MI1> <SI1>Let’s compare two career white color office workers commonly found in a job market and accountants that have such a specified skill. Both of them have a fine education background from a college. Whereas white color jobholder earn just average salary accountants whose job area can be done by relatively limited personnel make even more greenback according to their rare ability.</SI1> <TR>Therefore</TR> sports players and entertainers who especially are gifted and occupy less than 1% of nation’s population in the field of occupation surely deserve to win a large sum of dough. </BO1>

<BO2><MI2><TR>The pleasure they endow to ordinary people should be counted as a second factor that they deserve to have millions of dollars.</MI2> <SI2>Those people give so special happiness. A month ago, 2002 Korea-Japan world cup was held. Whole people nation wide were not only saddened but also were lit up by the star players’ tremendous game. Watching every single action they did, all of the Korean felt we are the one.</SI2>Who else can agitate the country other than these few? It is very righteous for them to secure the money. </BO2>

<CO><TR>To conclude</TR>, aforementioned people’s acquiring millions of dollars’ income is quite reasonable by the two reasons based on the rarity of the occupation and particular pleasure that can be offered by the only few talented people. With two grounds, I approve at the idea that they deserve to make a lot of money.</CO>",::,3,::,3,::,4,::,4,::,4,::,4,::,3,::,4,::,4,::,The essay was decent but was a bit to short in its conclusion. Some additional examples would have been good.,//
"377&A gift(such as a camera, a soccer ball, or an animal) can contrubute to a child's development. What gift would you give to help a child develop? Why? Use reasons and specific examples to support your choice.",::,"<IN>Children usually cannot concentrate on one thing for a long time. This fact affects ways of teaching kids. <TR>For instance</TR>, in kindergartens, teachers make use of songs, motions and funny stories to educate. So, children can learn many things very effectively. <TR>Plus</TR>, direct experiences are very important for children to improve their abilities and emotions. <TS><TR>For this</TR>, I think that's a good way of giving some presents to children.</TS> If I had a chance, I would give a puppy to children. There are some specific reasons why I want to present a little dog to them. </IN>

<BO1><MI1><TR>First of all</TR>, to breed a puppy can help a child develop, especially mental development.</MI1> <SI1>Today, there are a child or two children in each family. In this home environment, not only they sometimes feel lonesome but also cannot have much time with others except parents. <TR>So</TR> as growing up, they will be likely to be selfish.</SI1>While a child who keeps a dog as a pet is able to feel genialness and learn how to care for others. </BO1>

<BO2><MI2><TR>Second</TR>, Children can realize the importance of lives.</MI2> <SI2><TR>Nowadays</TR>, many kids like to play computer games. Through this kind of play, they can have fun. Yet It doesn't have beneficial effects on children's development. Moreover a child can be a person who lacks humane feelings because he or she play games alone. By breeding a pet, children can come in contact with a live one.</SI2> <TR>Also</TR>, they can know that lives are very valuable. </BO2>

<CO><TR>To conclude</TR>, a pet is to be the best present which can contribute to a child's development. <TR>In my view</TR>, the most important thing in our lives is personality of one person. A child should keep company with other people and experience many things to be a kind-hearted person. It seems to me that computers or other lifeless things are not good for children. To improve our children's abilities, Adults must try to provide better environments to children.</CO>",::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,"This was a decent and well balanced essay. There could have been a few more examples, but it was still fine.",//
