diary,::,EV,::,TR,::,SR,::,CO,::,Comment,//
"11&<EV>On Sunday after church I was surprised. 
I wanted to go home, but I was at the toy land.</EV>
<SR>I hoped that it was somewhere fun and I realized it was not too fun. There was nothing to do.
<TR>But</TR> I rode two wheels, and there was one baby.
And there was nothing to buy.
I bought Christmas cards and I sent them and tomorrow my grandmother will receive it.
Merry Christmas everyone.</SR>
<CO>The end.</CO>",::,2,::,2,::,2,::,3,::,Not a clear description of what and where action is taking place.,//
"12&<EV>My friend Gin Young came to my home and I can meet her
on Tuesday at her house at two o'clock.</EV>
<SR>We studied with my teacher.
In fact she is eight and I am seven years old.
I was clever so I could go to school. 
<TR>But</TR> I am not used to calling her ""older sister."" Because I did not call
her ""older sister"" <TR>but</TR> I will try to call her ""older sister.""
<CO>The end.</CO> 

",::,2,::,2,::,2,::,2,::,"Not sure what the main topic of this entry is, but the writer expresses honest feelings about a relevant topic.",//
"13&<EV>I was invited by my friend at 7 o'clock.</EV>
I'm going to go to my friend's house today.
Hyomin and Seoyeon will go there too.
<SR>They are also my friends and I will have fun at my friend's house.
It's not so far.
How lucky I am to be invited, I'm so happy.
Now I'm going to go right now.
Hurry!
If you want to join me, then come and join, OK?</SR>
<CO>Bye Little Fox.</CO>",::,4,::,3,::,4,::,4,::,Writer's feelings and event are clear. More details and description would be nice,//
"14&<EV>Hello, as you know I study with a Canadian teacher every Monday,
Wednesday, and Friday.
<TR>But</TR> on Wednesday I need to play with my friend at 11:00.
Maybe I willchange the class to today.</EV> 
<TR>But</TR> my teacher had a stomachache so she was late today.
So a teacher whose name is Sally just told me. 
I studied with her for the second time.
<SR>I have seen her and I had fun.</SR>
<CO>The end.</CO>",::,3,::,3,::,2,::,2,::,Entry is loosely thrown together. Very freely written. There isn't a clear event and self-reflection is absent.,//
"15&<EV>Hello, I like Friday because I just like to go to taekwondo.</EV>
Do you know my point? <SR>When I win the game 
I can get points. <TR>But</TR> I need to get 1800 points.
Because I can use them later. 
<TR>Next</TR>, I can watch Little Fox on Friday <TR>but</TR> only in the morning. 
I can watch it for only one hour. I am sad. 
<TR>But</TR> I can play at night.
So if I want to see it I have to wake up early.</SR>",::,2,::,3,::,3,::,2,::,Entry is scattered and lacking in detail.,//
"16&Hello! <SR>March is my favorite month because
I am going to go to school and also it is the most important
day in March. 
It is my birthday. 
I have waited for years because I want to go to school.
I like studying and I am going to invite my friends. 
Their names are Jue hi, Ha Min, Sepyeon, and Hong en.
I will invite them all on my birthday. 
I will have fun. How about you?
Who are you going to invite? </SR>",::,2,::,4,::,2,::,4,::,Entry is unclear in the beginning. More details and self-reflection would strengthen this entry.,//
"17&<EV>There were three skinny goats.
They wanted to eat grass and then they needed to cross a bridge.<EV>
<TR>But</TR> there was a witch at the bridge.
The first goat walked across the bridge.
The witch saw it and said, ""I'm going to kill you.""
The first goat said, ""Please spare my life, a bigger goat is going to come.""
""Okay, then you may go now.""
The second goat tried to cross the bridge and the witch let him go too.
And then the third goat tried and they began to fight.
<CO>And the goat won.</CO>",::,4,::,3,::,1,::,3,::,Creative entry but the joke seems incomplete. More details and self-reflection would be welcome.,//
"18&<EV>On Saturday, I'm going to see my aunt and a dog.</EV>
<SR>I like it. He is cute. 
The dog's name is Gamdori because it is black.
I like him very much.
Since he saw me before, he can remember me.
And also there is an older girl. She is 17 years old.
I like her, but the dog likes her more.
I wish I had a dog.
My mom will buy me one later.</SR>",::,4,::,3,::,4,::,3,::,Entry reflects clear emotion and describes anticipated event well.,//
"19&<EV>Yesterday, it was my friend's birthday.</EV> 
The friend's name is Hamin. And there was
Juhee, Sunwoo, Seohean, and me. <SR>I needed to give
her the gift. 
<TR>But tomorrow,</TR> I will give it to her. 
Today, I went to buy something for Hamin. I bought a glass decoration. 
She will be very pleased tomorrow. 
My mom bought me an eraser that said, 
""Do not eat."" How funny it is.</SR>
<CO>The end. </CO>

",::,3,::,3,::,2,::,2,::,Entry lacks details which leave the reader curious for more. Self-reflection could also be stronger.,//
"20&<EV>Kelly and Kim decided to give Mom and Dad a big gift. </EV>
They are pulling the box. They are going to put the best present in it.
They all get into a big box and Kim was too short.
So Kelly lifted him. They needed to hide now.
They closed the lid. Mom and Dad came.
""What is this?"" Mom said. ""Something is moving."" Then the box
opened and Kelly and Kim said, ""Surprise!"" What a wonderful gift! 
<SR>I liked this story very much.</SR> 
<CO>The end.</CO>",::,4,::,4,::,1,::,3,::,Details are strong in the beginning but are weak towards the end. Entry lacks self-reflection.,//
"21&<EV>Hi, today I will tell you about what I want to be most of the time.</EV>
<SR>I want to be an artist and I draw pictures very well.
And also I want to be a reporter, and sometimes I wish that 
I am a kid but sometimes I don't.
I want to be a teacher and most of time I want to go to school.
Four months from now, I am going to go to school. What a happy day
I will have.</SR> 
<CO>The end.</CO> 

",::,3,::,2,::,2,::,3,::,Entry is interesting but contains very little self-reflection,//
"22&Hi, it is me, Ellen.
<EV>Today I am going to play with my best friend.</EV> 
Her name is Joo Hee. <SR>I like her because she is nice.
Her English name is Jessica. What a pretty name but I don't like 
my English name. I wish my name were Amy like the girl in the little women story.
What is your name and English name?</SR>
<CO>The end.</CO> 

",::,3,::,4,::,4,::,4,::,Entry is thoughtful and the thought process flows smoothly.,//
"23&<EV>Today is my mom's birthday.</EV> 
<SR>I know what I am going to give her <TR>but</TR>
my mom doesn't know yet.
What I am going to give her is a ballpoint pen. 
<TR>But</TR> it is covered with flowers, and also I will give her a letter
with my beautiful picture. 
I am good at drawing.
Tonight we are going to go to a restaurant 
and we are going to eat cake.
I wish I could give you a piece of cake.</SR> 
<CO>The end.</CO>",::,4,::,3,::,1,::,2,::,"Entry starts strong but goes off on tangents. Focused detail would help, along with stronger self-reflection.",//
"24&<EV>During the weekend, I went somewhere but there were a lot of sheep.</EV>
My father bought some food and I fed the sheep a lot. 
Many sheep wanted to eat it even though there was grass.
One sheep was very silly. There were some stairs and a little sheep was under the stairs. 
So people went up and they did not see the sheep.
How stupid the sheep was. 
And I bought some shoes. The character is Hello Kitty. 
<SR>I was happy.</SR> 
<CO>The end.</CO>",::,3,::,2,::,4,::,2,::,Entry severely lacks details that leave the reader wondering about the time and place of event. There is also insufficient self-reflection.,//
"25&<EV>Today I woke up at 7:50 and watched Little Fox 
and then I watched an Internet vocabulary program.</EV>
If I give the right answer, they give me a point.
<SR>I do well like I do in Little Fox and after that I studied some Little Fox vocabulary.</SR>
I can memorize the story even though I read it only one time.
<SR>How clever I am!</SR>
And then I read a book.
Right now I'm still studying.
How about you?
Are you studying like me?",::,4,::,3,::,3,::,4,::,Event is a little unclear but more details come out as the entry progresses.,//
"26&<EV>On Sunday, I went to Everland.</EV>
There were a lot of things to ride <TR>but</TR> 
there were too many people. So I rode 
only one thing. It was a boat ride. 
And I went to the science museum.
<SR>Best of all I liked to make something with 
a straw. I made a hat, a balloon, and a rocket with 
my father</SR>.
<CO>The end.</CO>",::,4,::,4,::,3,::,2,::,Starts strong but deflates towards the end. Would be better with more details.,//
"27&<SR>I like taekwondo class.</SR> 
<EV>Today I went to taekwondo class. I played chicken fight.</EV>
<SR>I like it very much because I do it very well. 
It is not hard to do it.</SR> 
You just have to do it with only one leg. 
And you cannot use your hands.
When I play I have to attack my friend with my one leg.
<SR><TR>Also</TR>, I am good at running.</SR> 
I run very fast.
How about you? 
Maybe what you can do is not hard.
<CO>The end.</CO>",::,3,::,4,::,2,::,2,::,Entry is strong with good details describing the event. Writer also has solid self-reflection.,//
"28&<EV>Today was my third time going to art class.
I went to art class and I drew an elephant.</EV>
It was flying and the birds were pulling it.
They were very tired and they helped the elephant because he wants to fly and the elephant has a gentle heart. 
Even though they had bloody noses, the birds did not give up and the elephant was spreading
water everywhere and now you should be a genius and hardworking.
<CO>The end.</CO>",::,3,::,3,::,1,::,2,::,Very interesting entry - excellent details and description.,//
"29&<EV>Yesterday was Sunday.
I played with my cousins.</EV>
We played to catch robbers and hide and seek.
We ate pizza. <SR>It was very yummy.</SR>
And on Saturday, I went to my uncle's house because of my grandmother's birthday.
We had a cake and we blew the candles. 
<SR>I had a great time.</SR>",::,3,::,4,::,2,::,3,::,Details about event are good but self-reflection is lacking.,//
"30&<SR>Today, I had a good day.</SR>
<EV>I went to taekwondo class and my teacher gave me a blue belt.</EV>
<SR>I like my blue belt because it is beautiful.</SR>
I played at 5:30.
<TR>But</TR> not many of my friends were playing outside because it was very cold.
So I don't go out now.
<TR>But</TR> I went to my friend's house. 
<CO>The end.</CO>",::,3,::,4,::,2,::,2,::,Details are lacking but self-reflection is decent,//
"31&Do you want to know what i did?
<EV>On Chusok, I went to my grandmother's house
and I played a game with my daddy and one time 
my father and I caught frogs and dragonflies too.</EV>
We went to another grandmother's house and also 
I played a board game and my aunt came too.
<SR>I had fun there. I like Chusok very much.</SR>",::,4,::,2,::,2,::,4,::,Good details but not much self-reflection. Event is also a little vague.,//
"32&<EV>I read this story.</EV>
Can you imagine a magic donkey who has 
shiny fur? He can also fly in the air at midnight 
and he has a friend named Yoo jin <TR>but</TR> only he knows the donkey 
can fly. And the magic donkey is Yoo jin's best friend 
and<SR> I know this story is just a story <TR>but</TR> I thought it was very interesting.</SR>
<CO>The end.</CO>",::,4,::,2,::,1,::,3,::,Interesting entry. Good details and reflection.,//
"33&<EV>Today, in Seoul it is raining a lot.</EV>
Most of the day it rained. 
<SR>I don't like rainy days because I have to take 
an umbrella and wear a raincoat and if the rain stops
I have to take them home again.
I do not like the rainy season because I can see 
earthworms. I hate worms and of course snakes because 
these animals lie on water.</SR>
How about you?
<CO>The end.</CO>",::,4,::,3,::,4,::,4,::,Self-reflection and writer's voice are strong and clear.,//
"34&<EV>I read a story called ""Wolf's Garden"" and <SR>it was a very funny story.</SR></EV>
Can you believe that a wolf is not eating animals in this story?
Do you want to know why it does not eat animals?
Because when it was winter, the wolf was hungry so he decided to 
eat vegetables. 
In the spring, the wolf had become so kind to animals even though the animals 
ate vegetables when it was sleeping. 
I guess you can imagine that in the forest, everyone had no problems.
<CO>The end.</CO>",::,4,::,3,::,1,::,4,::,Writer expresses feelings well. Good details and description.,//
"35&<EV>I read a story called ""Nature's Mother.""</EV>
<SR>I thought that she was so helpful for other moving things and also had such a kind heart.
I think she loved everything and now I feel so kind. And I want to help living things by myself because I like to be kind.
And I hope you will learn this lesson too and have a kind heart like me.</SR>
She helped by giving (?) things what they most liked, I mean their most favorite things.
<SR>She gave them food and I will help others.</SR>
How about you?
<CO>The end.</CO>",::,4,::,2,::,3,::,4,::,Writer expresses good empathy and emotions are clear,//
"36&<EV>Maybe I woke up at 8:40 in the morning.</EV>
I have to go to kindergarten at nine fifteen.
So I had to be quick, because there were only 35 minutes left to take the bus. 
The bus came to pick me up.
I arrived there almost at 10:00.
<TR>But</TR> that is okay and I went to kindergarten by walking.
<SR>Of course I had a fun time</SR> 
and I am lucky if I go to taekwondo class and then 
I picked up my baby sister. 
My teacher was waiting in front of the elevator and now 
I am in my home.
<CO>The end.</CO>",::,3,::,2,::,2,::,2,::,Event is unclear but entry is still entertaining and detailed,//
"37&<EV>Do you want to know about my younger sister?</EV>
My younger sister went to kindergarten and 
she is only three years old. 
You will be amazed.
Because she went to kindergarten with me.
I went to kindergarten when I was four.
<SR>I went there because I liked kindergarten more and 
I liked the five-year-old children and my sister has
a friend, but maybe she does not know they are
older sisters. I wonder what my sister is doing 
at kindergarten.</SR> 
<CO>The end.</CO>",::,3,::,3,::,3,::,3,::,Interesting entry. Writer is revealing and genuine with both details and self-reflection.,//
"38&<EV>On Friday morning, my family went on a trip to my grandmother's house.</EV>
<SR>It took a long time, <TR>but</TR> I was happy.</SR>
We went to the beach for swimming.
<SR>I cannot swim, <TR>but</TR> I want to learn.</SR>
My mother said she would bring me to the swimming school next time.
My baby sister likes swimming very much.
She did not want to come out from the water.
I bought a water gun and played with my sister.
In the afternoon, I caught cicadas with my father.
I caught 12 cicadas.
And at night I played Paduk with my grandfather.
My father taught me Paduk. <SR>Paduk is very fun.
It was a happy day.</SR>",::,4,::,4,::,4,::,4,::,Genuine self-reflection. Writer puts a lot of effort into describing details and emotions of the event.,//
"39&August 4th, 2013 

Today is Sunday.
<EV>On Sundays I usually watch the Animal Farm Story on TV.<EV>
<SR>That is my favorite TV show, because I love animals.</SR>
In the show, sometimes some dogs make trouble.
Then the director, Mr. Woong Jong Lee(이웅종 소장님), trains that dog.
He is an expert and strong.
Then many dogs change to nice dogs. He always wins!

<SR>I wanted to try to train a dog.</SR>
So I went to my grandmother’s house because I was going to train grandmother’s dog.
That dog’s name was Agi(아지).
Agi had brown and straight hair. And he was very clever and active.
I taught Agi how to go and stop. Agi was a very well trained dog.
But one day, my grandmother sold Agi.
A few days ago, I found that out.
<SR>So I was very sad.
I miss him.</SR>",::,4,::,4,::,4,::,4,::,Diary follows a natural thought progression. Good effort put into the event and train of thought.,//
"40&Sep. 3 2013. 



<EV>Last Weekend, I went to Gui-San for ""beolcho"" with my family.</EV>

Beolcho is a Korean tradition to take care of our ancestor's graves.

Chooseok is coming so there are many things for all family members to do together.

In Gui-San, I met Hoo-Seung. He is my cousin and friend.

We caught a frog, a cricket and many kinds of grasshoppers.

It was very fun, but I didn't want to touch the cricket 

because the cricket made me crawly.

It had dark brown body and long feelers, so it looked like a cockroach.

When I caught the cricket I used a cup

and that time mom said ""Come here, Lucy.""

So, I went there.

There was a little snake. My dad pressed the snake's head with a branch.

The snake had red and black strip pattern.

I thought maybe it was a king snake

but my dad told me, ""It is not a king snake, just a little baby snake.""

And my dad let the snake go.

The snake disappeared very fast.



And we bowed at the tomb, and we had a snack time.

It was a very exciting day!",::,4,::,2,::,3,::,4,::,Good attention to detail. Writer puts care into describing the events.,//
"41&<SR>Today I'm very very very happy!</SR>

<EV>Two weeks ago, I started to learn badminton in the school gym after class.</EV>

In the first class, I learned about badminton positions and how to hit a shuttlecock.

A shuttlecock is ball used in badminton.

In the second class, on Friday, I hit the shuttlecock five times. It was fun and made me happy!

My coach said, ""Lucy, you have to hit the shuttlecock 20 times, please practice more by yourself.""



Last Saturday, my father and I went to the gym at Seong-Jeong Middle School.

He had a badminton club there.

My father and I played badminton and my father corrected my movements

and I practiced hitting the shuttlecock by myself.

Finally, I could hit 11 times, it was 6 more than the first time.

<SR><TR>But</TR> I was a little worried about it. My coach said I have to do more than that.</SR>

Today, I had my 4th badminton class.

I can hit a shuttlecock only 11 times.

<TR>But</TR> I got praise from my coach.

He said, "" You are getting better every class. Good job.""

It makes me practice harder.

<CO>I'm going to hit the shuttlecock 100 times.</CO>",::,4,::,3,::,4,::,4,::,Clearly written diary entry. Reader can visualize the event and be placed in the writer's shoes.,//
"42&<EV>There are many types of typhoons.</EV> <TR>For example,</TR> Nabi, Maemi, Kirogi, Doksuri, and more are names of typhoons. 
Long ago people named a typhoon Thelma, which is a woman's name in English. They used a woman's name because a man is much stronger than a woman. Typhoons are weak, not strong like a man.
Now they have changed the names into other things like Nabi because it sounds very calm. Nabi is a Korean name. It means butterfly.
Several days ago, Bolaven came. The name came from Laos. Bolaven means tableland in Laos. 
<CO>Typhoon names are very interesting!</CO>",::,3,::,3,::,1,::,4,::,Details are fine but little self-reflection is present,//
"43&<SR>I love to play my violin.</SR>
<EV>Last week I had a violin contest.</EV> <SR>I was very nervous.</SR> <TR>But</TR> my mom encouraged me and told me that I could do it. I knew it was hard <TR>but</TR> I did my best to be calm. When I was on stage I took a deep breath and played my violin. My music was a little fast and long. 
""Ding! Ding!""
The bell rang. It meant that I had to stop playing the violin. The hard part was over. <SR>I could have played much better than that so I was a little bit disappointed.</SR> 
<CO>Next year I will not be frightened to go to my next contest.</CO>",::,4,::,4,::,4,::,4,::,Writer describes emotions and feelings very well.,//
"44&<EV>I went to Jeju Island last Sunday.</EV>
<SR>I was very excited.</SR> I went to Jeju Island with my family, my grandma, my uncle, and my cousin. First, we rode to our hotel called Jeju Shilla. We went to the hotel's beach. The waves were very rough. I ended up drinking some of the sea water. I also made a sand castle. I used a bucket. When a wave hit my hand, I let go of the bucket. I think it was all alone. <SR>Most of all I was very disappointed.</SR> After eating dinner we went to the hotel's swimming pool. I swam there until 11 p.m. It was the first time I got to swim late at night.
<CO><SR>I think Jeju Island is the most wonderful place to live!</SR></CO>",::,4,::,4,::,3,::,3,::,Event and details are very clear but there is not much of the writer's feeling or voice,//
"45&<EV>Every night we go walking.</EV>
We walk for about one hour. We go to the same track everyday. <SR>I like outdoor walking because it is cool.</SR> If it's raining I don't go outside.<SR>When I go outside, I feel like I'm flying over the sea. The wind makes my cheeks feel cool. I run like the blink of an eye. The night breeze is cooler than I thought. The cooler the wind blows, the faster I run. I can run very fast. Sometimes I almost fall. Sometimes I ride my bike, too! I speed like a bullet. I can not drift, but I can run with my bike.</SR> How much can I run? How fast can I go on my bike?",::,3,::,4,::,3,::,3,::,Thoughtful entry with honest emotion,//
"46&<EV>My dad is the best.</EV>
He earns money for our family. He is an eye doctor. <SR>I think he is the hardest working father that I have seen.</SR> He wakes up early in the morning and comes home late at night. I am very proud of my dad. He is handsome, too. Even though he is tired, he goes to exercise with me. He goes to a yacht race place and Camellia Island with me. I usually ride my bike. I went to the yacht race place with my bike and went around two times last week. Yesterday, I went to Camellia Island with my bike. My dad said he loves me very much. <SR>I love him, too!
He is my loving dad.</SR> <CO>I wish he could live a long and happy life.</CO>",::,4,::,3,::,2,::,2,::,Entry starts strong but becomes a little loose at the end.,//
"47&<EV>I had a cooking class.</EV> I made pork with pepper and mixed vegetables. 
<TR>First,</TR> I mixed the pork with a sauce. <TR>Second,</TR> I cut the pepper and onion into skinny and long pieces. <TR>Third,</TR> I put the pork into a big frying pan and fried it. <TR>Fifth,</TR> I fried the vegetables with the pork. <TR>Sixth,</TR> I put everything into a dish. <TR>Seventh,</TR> enjoy the meal.
<SR>I think it was very yummy. <CO>I like cooking class very much.</CO></SR> My friend said it was very exciting to be taking it with me!",::,4,::,3,::,1,::,2,::,Good entry but lacks self-reflection,//
"48&<EV>I went to Namhae Island to see the Yeosu EXPO yesterday night.</EV>
I was very tired and sleepy. I went to sleep in the car. When I opened my eyes, I was in a bed in a big house. It was early morning and I turned on the TV to see some news. When our family all woke up, we went outside. There was a car that took us to a dock. <SR>I was a bit scared because I had never been on a big boat before. I thought it would sink. But I got bored soon. I stopped thinking about the boat sinking.</SR> When I got off the boat, I saw a sign that said, ""Welcome to Yeosu EXPO!"" I saw people lining up to see lots of different performances. Now I want to go to another EXPO. <TR>But</TR> I need to wait at least another 3 years to see the next EXPO. The next EXPO will be held in Milan, Italy. <CO>I want to have a chance to visit Milan to see the next EXPO.</CO>",::,3,::,3,::,4,::,4,::,Nice streamline of progression but could be put together more at the beginning,//
"49&<EV>Now it is summer.</EV> The leaves turn green and many fruits grow. People change from their sweaters to shorts. The rain is turning into sun. The monsoon has already come. People are looking for ice cream more than tea. The butterfly says, ""Bye-bye!"" and the mosquito says, ""Hello!"" The heater went into our storage, and the fan came out of our storage. People like going to the water park more than the aquarium. People enjoy exercising more than doing their homework.
<CO><SR>I think it is going to be a peaceful summer!</SR></CO>",::,3,::,4,::,1,::,3,::,Poetically put together but self-reflection is absent,//
"50&<EV>It is almost summer vacation. I would like to plan my vacation.</EV>
I want to wake up very early. After eating breakfast I want to do my vacation homework for as long as I can in the morning. After eating lunch I want to exercise. When I get hot I want to play with my friends. After saying goodbye to my friends I want to read books at home. Then I will take a nap. After that I will practice my violin. Next I want to see many stories on Little Fox.
<CO><SR>Well, I hope to have a great vacation.</SR></CO>",::,4,::,4,::,2,::,4,::,Clearly written diary entry. Reader can visualize the event and be placed in the writer's shoes.,//
"51&<EV>Nate the Great is a detective.</EV>
One day he was washing himself in the bathtub. Just then the doorbell rang. 
""Oh, no. Not now!"" he thought. 
He put a towel around him and went to his door. His friend Pip was standing in front of the door.
""Hi, Pip. Why are you here so early?""
""Help me,"" said Pip. He gave Nate a note. The note said, ""Step left until you reach the middle. Step up and you will solve this riddle."" With some help from Nate, they solved the mystery together. 
""But I am still looking for another mystery to solve,"" said Nate at the end. 
<CO><SR>I think Nate the Great is the best detective in the world.</SR> <TR>But</TR> I think I could solve that mystery faster than him.</CO>",::,4,::,4,::,2,::,4,::,Entry is clear; writer brings the reader in with strong details about the story. Self-reflection reveals the writer's thoughts.,//
"52&<EV>I wish I had a pet.</EV> 
<SR>When I am lonely I can play with my pet.</SR>
I wish I could have a puppy. I would name it Mimi or Steve. The color of its dog collar would be red. Even thinking about it makes me happy. <SR>I want to have a small, gentle dog. I want a dog that would also hold its pee or poop. I want to teach it some tricks, too! It will be so much fun to have a dog. 
When I am sad, we can share our feelings together.</SR> 
My mom said, ""When the dog is angry, it will pee everywhere!""
<TR>But</TR> I don't care! <CO>We won't make the dog angry.</CO> Who knows?",::,4,::,4,::,4,::,3,::,Entry has a clear voice. Details describe the event well and the self-reflection add personality.,//
"53&<EV>I have nothing to do but work.</EV>
My mom says, ""Do this. Do that."" My brother says,""Do this! Do that!""
My mom makes me do homework. My brother makes me do chores! <SR>The only thing I do is work. I don't like to work. My life is full of chores and homework. No time to play!</SR> I must read my book that I have assigned for homework. Giving a pencil to my brother is my chore! <SR>There are so many things I have to do that I don't know what to do! Oh no, another homework! Oh no, another chore! I am in a bad mood these days.
Maybe because of traveling, I am tired and have more homework.</SR> <CO>Next week I think I will be better!</CO>

",::,4,::,4,::,4,::,4,::,Strong emotion is clear and relevant to the diary,//
"54&<CO>Today is Buddha's birthday.</CO
He was born in India. When he was old enough to marry, he decided that he didn't want to get married. He knew that his babies would get sick and die. Buddha was always thinking of something. Buddha was very smart. So some people started to trust Buddha. Buddha was not concerned about eating, drinking, or being rich. He spent all his time thinking about nature, people, and life. Buddha liked to help people. After he died, people thought of Buddha as their symbol for god. The Hindu people are proud of him.
<SR>I am a Christian. I don't think that Buddha is my god.</SR> <CO>He is only a human. I just have one God to serve.</CO>",::,4,::,3,::,1,::,3,::,Good cohesion with details describing the event but little self-reflection revealing the writer's thoughts.,//
"55&What is it?
It is yellow and long. There are little bumps on it. It is very yummy. It is a vegetable. 

What kind of vegetable is it? 
It is a secret. You have to guess what it is. The farmer plants it and sells it. What is it? 
It is corn!

What is it? 
It is cold and creamy. People like it especially during the summer. It is usually kept in a cooler. What is it? 
It is ice cream!

Who am I?
I skate very well. I am famous these days. I won a gold medal in the Olympics. Who am I?
I am Kim Youn Ah!

What is it?
It travels to space. Everybody cheers for it when it blasts off into space. What is it?
It is a spaceship!

Who am I?
I take care of you. I am an adult. I am a woman. Who am I?
I am your mom!",::,2,::,2,::,1,::,1,::,Just a bunch of riddles rather than a diary entry. There are no details nor self-reflection nor an event present.,//
"56&<EV>I will go to Italy next week.</EV> I will stay at my aunt's house and also in a hotel. My aunt lives in Milan. I will stay at her house for seven days and stay in a hotel at Rome for three days. I will visit the leaning tower of Pisa, Venice, Milan, Rome, Pompei, Sorento, Napoli and Milan. I will go to Switzerland, too! I will take a mountain train. I will go to the top of the Alps. <SR>I will have lots of fun.</SR> It takes three hours to go to Venice, Pisa, and Switzerland from Milan. It is very convenient to be able to stay at Milan! I will eat pizza and pasta in Italy. <SR>I will have a great time there.</SR> <CO>What fun!</CO>",::,4,::,4,::,2,::,4,::,Strong entry. The reader can feel the writer's excitement.,//
