essay,,,,I/B/C,,Thesis,,Topic,,Coherence,,Transition,,Main Idea,,Supporting Idea,,Style,,Usage,,Critique,//
189&Some people live in a small town. Others prefer to live in a bit city. Which Place world you prefer to live in? Use Specific reasons and details to support your answer.,::,"<IN>Some people prefer to live in a small town, because of beautiful landscape of nature and clean air, while others prefer to live in a big city. <TS><TR>In my opinion,</TR> I advocate that living in a big city is better because it gives me numerous opportunities for my life.</TS> My reasons for this are that I can get high quality education and huge public transportation. I will explain them below. </IN>

<BO1><MI1><TR>First of all,</TR> a big city provides various educational chances  going through diverse experiences.</MI1> <SI1>A big city has many universities of high quality and professors who received higher education. The universities give me a valuable and meaningful education and then It is good for me to focus on research. <TR>In addition,</TR> living in a big city helps people to acquire a variety of experiences. It is useful to study for many students by visiting many educational places in a big city such as movie theater, historical, art museum and opera house. It can learn history, music, biology. <EX><TR>For example,</TR> when I went to New York City, I went to natural history museum and I watched fantastic musical. Also I visited Lincoln center and I listened perfect harmony of orchestra there. At the same time, I learned various history and music. Then I spent more precious and instructive time. It was nice for education. Practically New York University uses all of Mahattan city for campus to their education.</EX> If you living in a big city, you can receive high quaility education preciously and you can use all facilities of big city for your study.   </SI1>

<BO2><MI2><TR>Secondly,</TR> a big city offers a wide range of public transportation.</MI2> <SI2>Public transportation is convenient to our busy daily life. Usually most people commute to school or company by train, bus every day. Public transportation can shorten commuting time a lot. A big city has gigantic public transportation more than a small town. <EX><TR>For instance,</TR> I studied for seven months in small town of New Zealand three years ago. When I studied there I did not have a car. I had a difficult time going to school. After I moved to Auckland that is the biggest city of New Zealand, however, I could commute to school so easy everyday by transportation. The buses came my home frequently at intervals of 15 minutes. <TR>Therefore,</TR> it was more handy for me to commute to school. Transportation was important to my daily life. It provided a comfortable way to go to school, shopping mall and anywhere.</EX> <TR>Moreover,</TR> you can save your valuable time than living in a small town thanks to public transportation. Today, gas prices is rising gradually. In this regard, using public transportation instead of using car can save our cost of living. <EX><TR>For instance,</TR> When we move anywhere if we buy metro Umlimited tikets it bring more economic fares. It is cheaper than we spend to using our own car.</EX> In these circumstances, if you living in a big city, you can make your life more efficient and convenient.   </SI2></BO2>

<CO><TR>In conclusion,</TR> I support the idea that living in a big city is better than living in a small city. Living in a big city offers numerous education opportunities and all of facilities to use for research. <TR>Moreover,</TR> living in a big city gives us profitable public transportation. It can make life more beneficial and fascinating in terms of time and cost efficiency. <TR>Therefore,</TR> I strongly agree with the idea that living in a big city provides many merits than living in a small town does.</CO>

",::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,5,::,4,::,Some grammatical and semantics errors but otherwise a very good essay.,//
190&Do you agree or disagree? Modern technology is creating a single world culture.,::,"<IN>Basically a single world culture can be a type of globalization. <TS>Based on this assumption, I agree with the statement that modern technology is facilitating the world unification.</TS> Even though the phenomenon of globalization has steadily progressed from the beginning of this century, the development of technology especially such as computers and Internet is playing a significant role in creating a single world culture. In this essay, I am going to present how the world is getting unified with a single object. </IN>

<BO1><MI1><TR>Above all things,</TR> nowadays more and more people in the world are creating a single culture by living under a universal language: English.</MI1> <SI1>With the development of modern technology, computers, the population speaking English language is increasing, the various kinds of languages spoken in different countries have been giving a way to the lingua franca, English. <EX>The most common computer language used today or software packages are written with English language. Almost all of computers are using a keyboard with roman alphabet letter. No matter where you are and no matter which language you speak, we are using the same kind of software like Window Operating System.</EX> It means that we are getting a single group. </SI1></BO1>

<BO2><MI2><TR>In addition,</TR> our life style is getting unified with each passing day with a modern technology of Internet being used in almost every corner of the world.</MI2> <SI2>All sorts of information we are getting provide us with a unifying knowledge worldwide. The similar kind of internet pages such as Google, MS Explorer make us getting closer one another. <TR>Besides,<TR> those portal web sites have same faces all over the country. Wherever you live, we see the same images on the first pages and share our ideas based on the world-wide websites. <TR>Moreover,</TR> people all over the world are creating a single family through the Internet Face book. Each one is getting closer and closer beyond national borders and distances. </SI2></BO2>

<CO><TR>In summary,</TR> the modern technology especially such as computers and Internet development brings people worldwide together, and making the world getting a single culture.</CO>

",::,5,::,5,::,4,::,4,::,4,::,5,::,4,::,5,::,4,::,Some of the supportive information wasn't strongly defined.  Overall a good essay.,//
191&Parents are the best teachers.,::,"<IN>Some people agree with the statement that parents are the best teachers. because they think that parents love their children more than anyone else. <TS><TR>However,</TR> I do not agree that parents are always the best teachers for their children.</TS> There are two reasons why I feel this way. One reason for my argument is that parents are too emotionally attached. the other reason is that they expect too much of their children.</IN>
 
<BO1><MI1><TR>Firs of all,</TR> parents cannot be the best teachers because their emotional invovlement gets in the way off the effective education of their children.</MI1> <SI1>It is a teachers` objective feedback that can help students to learn by showing them where they need improvement. <TR>However,</TR> it is not easy for parents to offer honest assesment. because they are too emotionally attached to their children. <EX><TR>for example,</TR> when their children failed to win the contest, although it is jufitable process, some parents repute the results.</EX> </SI1></BO1>

<BO2><MI2><TR>Another reason that</TR> parents think that their children can perform anything involved in.</MI2> <SI2>parents tend to overestimate their kids` ability. It is sometime a big burden to their children , which can cause harmful effect on their growing period. and they also expect their children to make the same dicisions that they would. because they are certain that it is a good way to make children ideal person who they expected. <TR>However,</TR> this action can prevent children from thinking themselves in the future. Even they deicide what they need to do, parents cannot encourage their decision not corresponded to what parents want. All of these things makes children dispressed.</SI2></BO2>

<CO><TR>To sum up,</TR> I strongly believe that parents cannot be the best teachers for their children. They are too emotionally involved in their children`s lives to view them objectively as a good teacher should. <TR>What is more,</TR> as parents only expect their children to be a person who they wanted</CO>

",::,4,::,4,::,4,::,5,::,4,::,4,::,4,::,4,::,3,::,"The thesis said what you do not agree with, it could have helped if you specified what you DO believe.  Some spelling, grammar, and semantics issues.",//
"192&In today's world, the ability to cooperate well with others is more important than it was in the past. Do you agree or disagree?",::,"<IN>Cooperation with others is considered an important factor for human beings all over the world because people are social. <TS><TR>However,</TR> many people think cooperation is more important factor these days than prior periods, which is not true due to two reasons.</TS></IN>

<BO1><MI1><EX><TR>First and formost,</TR> I think the period that cooperation with other people was the most pointed out was the agricultural period during mankind history, much more than now.</MI1> <SI1>When human beings' first period was to raise crops, cooperation was extremly important because a person or two cannot finish the whole process of agriculture. Since the technology was not well developed, machines for rasing crops did not exist and people have to do their work by their own hands with just simple tools. Comparing with these days which agriculture is not required many people but required only many machines, helping each other for crops was not an optional but eccential. Therefore, the ability to cooperate is more important during agricultural period than these days.</EX></SI1></BO1>

<BO2><MI2><TR>Second,</TR> there are so many things that can be done without any help of others in modern society.</MI2> <SI2>Many companies have required to do employees' job at office during prior periods. <TR>However,</TR> these days working at home becomes widespread. It does not mean that all works can be done at home but the occurance of working at home is clearly increasing these days, reducing the importance of cooperation with others. <EX><TR>As an example,</TR> computer programmers are one of the best examples that the cooperation is getting less importnace. Computer programmers had to learn about new programming skills, discuss with each other in order to build a new system. The lastest trend, however, is all changed. They learn new programming skills not by studying together but by studying with online lecture. Also they do not discuss with others but rather get their own assignment and just do what each person has to finish. Instead specialists are employed for building a new system and assigning a role of each person.</EX></SI2></BO2>

<CO>Although interaction with others is important and how people cooperate with others are one of important abilities, it does not mean that these ability is specifically considered to be important these days. Throughout the past periods, cooperation is always considered to be important and the tendency is getting weakened these days due to the modern technology and changed working environment.</CO>

",::,5,::,4,::,3,::,4,::,4,::,3,::,3,::,4,::,4,::,"In the second paragraph, the entire argument seems to be an example.  There should be more of a direct point stated which the example would illustrate.  Spelling and grammatical errors.",//
193&Do you agree or disagree with the following statement? It is better to have friends who are similar to you than to have friends who are different from you. Use specific reasons and examples to support your answer.,::,"<IN>Some people are likely to presume that making friends similar to me is better than having friends who are diffrent from me. <TS><TR>However,</TR> I firmly believe that the advantage of having various friends far outweigh that of having analogous friends because it can be more helpful in life and the relationship lasts longer.</TS></IN>

<BO1><MI1><TR>First of all,</TR> making different friends enable people to make their lives eaiser.</MI1> <SI1>This is attributed to fact that all people have different knowledge and skills from each other. Thus, having different friends can give numerous helps, living in complicated modern society. <EX><TR>For example,</TR> when I was a freshman on Engineering major, I got stress out too much because the subjects related to Engineering requires other knowledges in mathematics. However, I was poor at mathemtics and I ended up getting helps from my friends who were majoring in mathemathics. Judging by my experience, having friends different from me can be helpful and effective way to solve problems by getting an advice.</EX> </SI1></BO1>

<BO2><MI2><TR>On top of that,</TR> having similar friends can lower the possibility to sustain the relationship for long period.</MI2> <SI2>This is due to the fact that always doing the same things everyday without making changes, they can be easily bored with each other. With such situation, they finally ended up wanting to make new friends who are not analogous to their own characteristics. <EX>According to a study conducted by University of California at Los Angeles of the United States, there existed a huge difference between two groups of students in friendships. Students in group A were classified for their similar characteristics and those in group B were classified for their different ones. The researchers showed that the period in which friendships last is much higher in group B than group A. Those in group B kept in touch with one another after they graduated from school.</EX> This implies that making different friends is better because it last longer than having similar friends.</SI2></BO2>

<CO>In brief it, at first glance, making friends who is similar to their own is better. <TR>However,</TR> I think by making different friends, we can live a more effective life through getting helps easily without worrying about maintaining the relationship between friends in long period.</CO>

",::,5,::,5,::,4,::,4,::,4,::,5,::,4,::,5,::,4,::,Some semantic and grammatical errors but otherwise a good essay.,//
194&Do you agree or disagree with the following statement? The ability to cooperate well with other people is more important now than it was in the past. Use specific reasons and examples to support your answer.,::,"<IN>Some people presume that cooperation is one of the most important component in academic and work fields. <TS><TR>However,</TR> I firmly believe that unlike our expectation, cooperation is not significant in modern society because it is not much helpful to get good jobs in the future and also it's importance is far much too greater in the past.</TS></IN>

<BO1><MI1><TR>To begin with,</TR> the ability to cooperate with others is not crucial to live a successful life.</MI1> <SI1>This is attributed to the fact that nowadays, most of companies consider more importantly an individual's ability, such as comleting project on time, meeting deadline, and observing work regulation thoroughly than cooperation. This reflects the importance of cooperation dose not outweigh that of work ability. According to the Ministry of Labor of Korea in 2008, the individual's capacity is the most significant factor for hiring in practice, taking up more than 70 percent of the final calls. The interviewers looked at the job applicants' skills and knowledge, mostly related to specialty. This implies that capable person tend to have more chance to get better jobs rather than cooperative one.</SI1></BO1>

<BO2><MI2><TR>In addition,</TR> collaboration is rather more important in the past.</MI2> <SI2>This is due to the fact that as modern society is becoming increasingly indivisualistic, the importance of collaboration has been decreasing at a rapid pace. Not only that, with a thought that collaboration can decrease effectiveness of work, the value of collaboration is more decreasing. According to a study conducted by Seoul National University of Korea in 2009, the number of collaborative projects which includes more than two academic majors in the university has decreased by 28 percent over the past three years. On the other hands, project that can be done in one particular resource were spreading drastically. This indirectly shows that even in academic fields, not only in work place, the collaborative work is not recommendable.</SI2></BO2>

<CO><TR>In brief,</TR> collaborating to do some taxing projects with others seems like great and attractive sufficiently. <TR>However,</TR> it is not that much helpful for people to be hired by famous companies and actually it's importance is lower than it is in the past. <TR>Therefore,</TR> we ought not to put the importance of cooperation on the top of other factors in life.  </CO>

",::,5,::,5,::,4,::,5,::,4,::,4,::,5,::,4,::,4,::,"Some specific examples of the research that was provided would have helped put things in perspective.  But other than that it was a good essay, with good research.",//
195&Do you agree or disagree with the following statement? The complexity of modern life makes it necessary for young people to have the ability to plan and organize. Use specific reasons and examples to support your answer.,::,"<IN>It is often said that the more complicated modern society is, the more necessary it is for people to prepare to do their work. <TS><TR>However</TR>, <TR>contrary to such common idea</TR>, I firmly believe that the complexity of modern society life is not that much related to the necessity to plan and organize <TR>because</TR> there is also easy way to do work and most of people have an ability to improvise another way.</TS></IN>
<BO1><MI1><TR>To begin with</TR>, <TR>in spite of the complication of modern life</TR>, there also exists several way to achieve their goals and live their lives.</MI1> This is more possible <TR>given the fact that</TR> not all people is living their lives based on their plans or other alternatives. <TR>Logically</TR>, if complicated present life makes people live a planed life, all people should have their own plans. <TR>However</TR>, the true situation is not such. <EX>According to a study conducted by Seoul National University of Korea in 2009, the researchers investigated people about how much of them live their lives with plans. The test result showed that 65 percent of the people were just subsisting, having no plans.</EX> This counterevidence implies that even if modern society is becomming increasingly complex, today's people are able to subsist without plans.</BO1>
<BO2><MI2><TR>In addition</TR>, all people have a potential to extemporize.</MI2> <TR>This is due to the fact that</TR> there actually exists certain area to be charged with improvision. <SI2><TR>Thus</TR>, people who do live with no plan can manage to live their lives and ahieve their dreams. <EX><TR>For example</TR>, since I was in fifth grade, I have wanted to attend Seoul University of Korea in 2009. <TR>However</TR>, I only studied all subjects and did assignments without a thorough plan. <TR>Instead</TR>, I studied and finished various report on a whim. <TR>Finally</TR>, I could made my dream come true to attend the University.</EX> <TR>It means that</TR> by my experience, without planing, people can accomplish their goals and do their work well.</SI2> <TR>Therefore</TR>, I certainly support the idea that complicated modern life has not correlation with such necessity.</BO2>
<CO><TR>In brief</TR>,  It means that <TR>although</TR> subsisting without plan looks like dangerous in ordinary people's view point, it can be one of the ways for people to survive in modern life <TR>because</TR> there is always alternatives and many people are living actually without plan. <TR>Also</TR>, people can improvise another way immediately. <TR>Therefore</TR>, we should not relate the complexity of modern life with such necessity.</CO>

",::,4,::,4,::,4,::,3,::,4,::,4,::,2,::,4,::,,::,BO1 lacks SI,//
196&Do you agree or disagree with the following statement? Grades(marks) encourage students learn. Use specific reasons and examples to support you opinion.,::,"<IN>Students learn much knowledge, information, and skill in the school.<TR>But</TR>, we don’t know how much students have learned without grades. <TR>That is</TR>, grades show that how much they made efforts in class or study. <TR>Also</TR>, it can be stimulant to students to learn, and have effect on their futures. <TS><TR>Thus</TR>, I agree that grades encourage student to learn.</TS><IN>
<BO1><MI1>One way grades encourage students is that they are result of endeavor</MI1>. There are various test methods like essay, practice, or quiz. But, it doesn’t’ matter to get good grades. <SI1>If they don’t have will about learning in class, grades will be dropped. <TR>This is because</TR> every school tests are based on topics covered in class. <TR>Therefore</TR>, if students realize that effort results in good grades, they will study harder in order to get grades they want.</SI1></BO1>
<BO2><MI2><TR>Another way</TR> grades encourage students is that they can be stimulant to students.</MI2> <SI2>Any students can receive a shock by getting dropped grades. <TR>And then</TR> they try to study harder to recover them. <EX><TR>For example</TR>, <TR>when I was high school student</TR>, I neglected study in short time because of basketball. <TR>After</TR> finishing one semester, my grade was gone down. <TR>After all</TR>, I was shocked, <TR>and then</TR> I did more concentrate on class to recover it.</EX></SI2></BO2>
<BO3><MI3><TR>The last way</TR> grades encourage students is that they can have influence on students’ future.</MI3> <SI3>When students get bed grades, they don’t affect for now. <TR>However</TR>, they will be problem in entering university or finding jobs. <EX><TR>For instance</TR>, high level universities require not only their own test, but also high school’s grades. <TR>Therefore</TR>, if you don’t get good marks in school, these problems will be happened.</SI3> Students will study harder and get grades that they are satisfied with in order to their future.</BO3>
<CO><TR>For these reasons</TR>, grades encourage students to learn. Grades can play an important role in life. <TR>Thus</TR>, students study harder with doing their best, and teachers should give a grade to student impartially for their future.</CO>

",::,5,::,3,::,5,::,4,::,4,::,4,::,3,::,3,::,3,::,"The student starts out with a weak thesis, but has decent main ideas to support it. However, SI1 lacks relevant examples.",//
197&Do you agree or disagree with the following statement? A person should never make an important decision alone. Use specific reasons and examples to support you answer.,::,"<IN>People make a several important decisions such as entering university, marriage, and finding a job in living the life. <TS>When making these decisions, I don’t think that people should never make an important decision alone. If deciding alone, there are positive points like preventing conflict with others, catching good opportunity, and feeling accomplishment.</TS></IN>
<BO1><MI1><TR>First of all</TR>, we can prevent conflicts with other people by making a decision alone.</MI1> <SI1><EX>When the decision which I make with other people results in bad situation, it is completely my fault. This is because a performer who takes a decision is me.</EX> However, we tend to shift responsibility on others who helped us make it. In the other hand, if we come to a decision alone, it will not happen.</SI1></BO1>
<BO2><MI2><TR>Next</TR>, if other people help us make a decision, we can miss the opportunity to best choice.</MI2> <SI2>Because of much advice which is to conflict or be various, we can be indecisive. <TR>That is</TR>, our judgment will be confused, and then the time and resources in making and decision will be increased. <TR>But</TR>, when we take a decision alone, we catch the opportunity to better selection quickly without confusing.</SI2></BO2>
<BO3><MI3><TR>Finally</TR>, we can feel a sense of accomplishment by selecting an important decision alone.</MI3> <SI3>To take a decision by ourselves, we need to find information and to analyze what decision is better. These endeavors will result in satisfactory decision. <TR>Thus</TR>, we can fell pleasure about solving the important issue by ourselves. <TR>Although</TR> we succeed in making better decision with others, the accomplishment will be less than choosing alone.</SI3></BO3>
<CO><TR>In short</TR>, these are positive points when people make an important decision by themselves. No matter whom you talk with – friends or family- you should keep in your mind that it is possible they sometimes can damage your choice.</CO>

",::,4,::,5,::,4,::,4,::,5,::,5,::,2,::,3,::,4,::,"The student has a clear thesis but fails when trying to support it. SI2 and SI3 both lack evidence, relying only on generalizations.",//
198&Do you agree or disagree with the following statement? Many teachers assign homework to students everyday. Daily homework is necessary for students.,::,"<IN>Almost all teachers give students assignment on a daily basis at school. Assignment can be a burden to many students because it requires time and efforts. <TS><TR>However</TR>, it is really necessary for students to improve their academic performance and creating good habit for studying.</TS></IN>
<BO1><MI1><TR>First of all</TR>, students can improve their academic performance through their homework.</MI1> If there is no homework from school, it is for sure that most of the students don't study by themselves. Homework makes students study, and studying is the most important and fundemental duty of students. <SI1><TR>Even if</TR> students do their homework unwillingly because they merely don't want to be punished, homework can help students' development in their academic achievement. <EX><TR>For example</TR>, I had to do a lot of homework when I was a high shcool student. <TR>At that time</TR>, I didn't like to do homework, <TR>but</TR> I could come to know about difficult equation that I could not understand well in mathmatics class by doing homework.</EX></SI1></BO1>
<BO2><MI2>In addition, doing assignment is good for creating studying habit.</MI2> Growing good habit is one of the most important factors to succeed in one's life. <SI2><TR>However</TR>, habit is not able to be formed in a short time. It takes a lot of time. <TR>In this regard</TR>, doing homework everyday can help students make good studying habit.</SI2> <??><TR>Moreover</TR>, once students have good studying habit, they can get great grades and reach their academic goal easily.</??> <EX>According to the recent research conducted by Seoul National University, most successful people have strong and good habit for studying. They have a fever for studying and read books almost every day. Studying habit is their one of the biggest characters in common.</EX></BO2>
<CO><TR>To sum up</TR>, homework is very important and good for students to improve their academic performance. <TR>Also</TR> students can have good studying habit by doing homework. Homework can be a key factor for students to be a good example at school.</CO>

",::,4,::,3,::,4,::,3,::,5,::,4,::,3,::,4,::,4,::,SI2 has no examples; BO2 seems to have a second MI or SI?,//
"199&Some people believe that universities should require students to take classes on ethics, whereas others believe a school should focus only on academic issues. Which do you think is better?",::,"<IN>Usually universities do not require ethics classes to their students, emphasizing on practical academic subjects. <TS><TR>Personally</TR> I believe that now it is time when educational institutions should be aware of the urgent importance of morality and require all their students to take classes on ethics.</TS></IN> 
<BO1><MI1>The first reason for supporting the ethics class in the university is that it will help reduce the increasing social crime rates.</MI1> Apart from a recent shooting incidents at an elementary school as well as high schools and universities, <EX>most of people know that serious crimes have been growing all over the country. <TR>Ironically</TR>, the rates of the highly educated and enrolled in universities have been also steadily increasing thanks to governmental funding aids and affluent life. </EX><SI1><TR>And then</TR>, what will be the main reason that the crime rates have increased exponentially in the abundant educated society? It may be the education system that has focused only on knowledge. <TR>Now</TR> if universities are aware of the relationship with two increased rates and realize the importance of ethics in their programs and start to educate students, it will help increase well-rounded personalities and form a peaceful society with less criminals.</SI1></BO1>
<BO2><MI2><TR>Another reason</TR> that universities should require students to take classes on ethics is that it will help reinforce the sense of moral.</MI2>  <SI2>One of the most significant reasons for committing crimes, hurting others, and confusing an orderly society can be blamed for a lack of morality and humanity around the places. <TR>Putting it differently</TR>, the paralyzed morality can lead to selfishness and disrespect sociopaths. When considering most of the serious perpetuators and criminals are allegedly young adults, <TR>it is no doubt that</TR> the required ethics class will play an important role in reinforcing the paralyzed moral senses.</SI2></BO2> 
<CO><TR>In conclusion</TR>, it is better for universities to require students to take ethics classes rather than focusing only on academic issues. It will help to reduce serious social problems and increase safety by reinforcing a sense of morality.</CO>

",::,4,::,4,::,5,::,4,::,5,::,5,::,3,::,4,::,5,::,Examples for SI1 come before the SI is stated,//
200&Do you agree or disagree with the following statement? The best way to ensure a good future is to plan carefully when you are young. Use specific reasons and examples to support your answer.,::,"<IN>It is often said that sucessful people usually are those who had plan to achieve their goals since they were young. <TS>I firmly agree with the opinion because planing is effective way to do study and also young students have more potential than the older.</TS></IN>
<BO1><MI1><TR>To begin with</TR>, planing since young age increase the chance of succeeding in life.</MI1> <SI1>This is attributed to the fact that almost all young students have more intellectual power. Thus, they can easily memorize numerous things at once and even their brain is able to keep them in long-term memories. This is what does not always happen in old people. <EX>According to a study conducted by Seoul National University of Korea in 2009, there was a huge difference between two groups of people in memorizing. Middle school students was classified as Group A and adults were classified as Group B. An experimenter showed a series of pictures and required subjects to keep them in mind and remind after an hour. The researchers showed that middle school students were able to recall more than adults by 30 percent.</EX> This implies that young aged people can easily learn by heart on account of their higher brain function. <TR>Therefore</TR>, if people plan to accomplish something in early age, they will have more possibility to make it come true.</SI1></BO1>
<BO2><MI2><TR>In addition</TR>, planing enables students to do various works more efficiently.</MI2> <SI2><TR>This is due to the fact that</TR> when people plan, they always think about it's priority. <TR>Thus</TR>, by doing so, they end up focusing on impending work, remaining other works to do later. Such procedure allows students to study more effienciently, not letting them do unnecessary things which is not related to their dream. <EX><TR>For example</TR>, my youngest brother used to lazy, living his life without plans, which caused him to have poor grades in school. Since he attended class named 'effective planing', he has changed little by little. He realized that planing is important component for living a successful life. <TR>Later on</TR>, he performed higher in school and got better grades because of such realization.</EX> This implies that planing in early age can contribute to success in life.</SI2></BO2>
<CO><TR>In brief</TR>, some people presume that everyone can be successful without any plan if they are capable. <TR>However</TR>, I certainly believe that planing since early age is the most efficient way for student to succeed in the future.</CO>

",::,4,::,4,::,4,::,3,::,5,::,3,::,4,::,4,::,4,::,"MI1 is more or less a reiteration of the statement students are asked to agree or disagree with, not a new argument.",//
201&High school students should be allowed to choose some of their classes.,::,"<IN>There are different opinions among people regarding whether it is proper for high school students to choose subjects that they want to learn in their study. <TS><TR>Although</TR> it is true that they could enjoy their school lives if they choose and focus on studying they like to learn, I believe that it is more beneficial to have a variety of courses in high school.</TS> In this essay, I will present two reasons to support my opinion.</IN>
          <BO1> <MI1><TR>Most of all</TR>, with various knowledge they learn in high school, students can learn and understand a lot of things that encourage them to find out their real potential and abilities.</MI1>  <SI1>Specifically, if they choose what they want to study, some of them couldn`t have opportunities to study how materials surrounding them are made not choosing science. <TR>However</TR>, if they were given many courses such as history, math and physics, they could know whole things related to them above and find out which field they can prove their potential in. <EX><TR>For example</TR>, <TR>in my case</TR>, I liked to learn and study history, so I had dream about becoming historian. I hated studying and memorizing weird science things. <TR>But</TR>, as being exposed by science world for several times in high school, I realized that not only did I have a great potential to get great grades in chemistry, but also I can work in chemistry sector. <TR>As a result</TR>, now I am studying chemistry engineering in college.</EX> <TR>In this regard</TR>, high school students should try to learn entire courses that high school provides.</SI1></BO1>
          <BO2> <MI2><TR>Moreover</TR>, high school student aren`t mature and sensible to decide what they study, so they may make wrong decisions related to their study.</MI2> <SI2><TR>In particular</TR>, they don`t know and understand why these courses are require do take and why they have to memorize this equation that seems unnecessary in their future. <TR>So</TR>, if they were asked to choose whole subjects whatever, they would not lose chances not to study challenging subjects, which results in bad consequences that few students are going to choose that kind of difficult courses. </SI2><SI?><TR>In addition</TR>, school need to compulsory educational courses for their students. <EX>Most high school students don`t like to stay in high school with their reference books and take a 50min class listening at teachers. Once school provide them with chances to choose what they want which means education they receive are not mandatory anymore, they are able to have rooms in their mind and lose motivation to study harder.</EX></SI?> <TR>For these reasons</TR>, choosing subjects are not acceptable because mandatory educational system is more effective for high school students.</BO2>
           <CO><TR>In conclude</TR>, I totally agree with this statement that high school students should not be able to choose what they study <TR>on account of the reasons above</TR>: they need to experience a variety of study which make them become men of more ability and they are not qualified for choosing courses they study for their immature.</CO>

",::,3,::,3,::,3,::,3,::,4,::,4,::,2,::,3,::,4,::,"This student uses some awkwardly-phrased SIs that are too specific. In addition, I feel that the way that they interpreted the prompt, while a valid interpretation, is a bit strange and not what was intended.",//
"202&Young people nowadays are more willing to help others than those in the past.

",::,"<IN>There are a substantial number of people who think that young people nowadays are more willing to help others than those in the past. They insist that there are a lot of news that young people helped unfamiliar others. <TS><TR>On the other hands</TR>, I think that young people nowadays tend not to help others because the moral education in school lacks and also they are very busy for their own work.</TS></IN>
<BO1><MI1><TR>To commence with</TR>, the young would not want to help others recently because they have not learned how they have to do when they see a person who are in trouble from school properly.</MI1> <SI1>In general, children get learned the moral attitudes as a social member from their parents and the school. However, recently this moral education tends to disappear in school because the school concentrate on the students' academic result like getting a famous university. <EX>The research, has been conducted by the Korean Times, states that more than eighty percent of university students answered that they got morality classes less than 2 hours a week. It is impressive comparing more than seventy percent of adults who are older than 40 answered that they had three times more classes.</EX> Thus young people nowadays could not get a moral education enough to have sympathy with others.</SI1></BO1>
<BO2><MI2><TR>On the top of that</TR>, even though they want to help others, they can not do because they are very busy.</MI2> <EX><TR>From my experience</TR>, two month ago I had a problem in my research assignment. I thought that my classmates could handle it, so asked them to help me. However they were sorry for that they can do that. They also had a heavy workload too. One of them had to take six courses a week and participate the research project which were conducted by his professor. In the end, I did not have no way except handling that problem myself.</EX> Hence, I assert that young people too busy to concern others.</SI2></BO2>
<CO>For these two reason, I maintain that the young people tend not to help others than those in the past.</CO>

",::,4,::,4,::,5,::,4,::,5,::,5,::,5,::,4,::,4,::,"This essay addresses the topic with a strong thesis and supporting examples, though more examples would have been nice. Also, there were some grammatical errors that were common, like with articles.",//
203&Drivers should be charged for congestion when they drive in areas with heavy traffic. Do you agree or disagree?,::,"<IN>People who have a car would feel the same frustration these days when they drive their car. Because too many cars on the road, congestion problems are ordinary phenomenon and it is not easy to solve the problem. <TS>Some people try to solve the problem by charging fees to heavy traffic, but many people oppose the opinion. <TR>However</TR>, I think this is actually one of the best solutions based on two reasons.</TS></IN>
<BO1><MI1><TR>First of all</TR>, price differentiation is one of the efficient ways to solve the congestion problem.</MI1> <SI1>If there is high demand and low supply, it is ordinary that the price go higher than before. This is natural situation in nations which are based on capitalism. <EX>As an example, movie tickets in weekend are more expensive than those of weekdays because more people want to watch movies and tickets are limited.</EX> <EX>Another example is the price of hotel. Even if people stay at the same night in the same hotel, the price of rooms is different based on the location of rooms; rooms with better scenery charges higher than ordinary rooms.</EX><TR>Likewise</TR>, charging higher price to something that is more popular than others is not unreasonable. In this manner, charging with higher congestion to drivers is surely reasonable decision. As the price goes higher, fewer drivers would drive the area of heavy traffic, finally reducing the traffic problem</SI1>.</BO1>
<BO2><MI2><TR>In addition</TR>, based on the revenue that drivers paid due to the congestion, governments can invest to intrastructure for solving traffic problems.</MI2> <SI2>Since governments have to distribute their budgets to many kinds of problems, using much money to enhance the heavy traffic problem would not be easy. <EX>If governments can charge for congestion, they can not only reduce the traffic problems but also gain fees. Since these fees are gathered by drivers, there is no reason to invest the money to problems other than the congestion problem. Drivers who paid for congestion can easily understand if the money they paid is used for improvement of traffic problems.</EX> <TR>Therefore</TR>, charging congestion fees to drivers would be a good way to both reduce the traffic problem and earn money for investment to the traffic problem.</SI2></BO2>
<CO>Heavy traffic problem is not easy to solve, but there may exist a way to reduce it. Pricing to drivers is one of them. It can reduce the traffic based on the theory of supply and demand, and the money that is earned by the fees can be used to improve the traffic condition, which can clearly enhance the traffic problem.</CO>

",::,5,::,3,::,5,::,4,::,5,::,4,::,5,::,4,::,4,::,"The thesis gives a clear argument, but the reasons for that argument should be included as part of the thesis and not left to be mentioned for the first time later. Overall, the essay is very good, with good examples used to support the thesis.",//
